X 	 Y 	 R 	 theta 

4.93418e-06	2.13135e-06	1.92925e-06	-57.216
-8.24225e-08	1.17906e-06	2.18862e-07	-143.646
4.64266e-07	-1.15904e-06	8.95936e-07	56.598
4.2748e-06	2.79398e-09	4.26083e-06	106.992
2.06755e-06	2.46197e-06	2.01027e-06	-91.668
6.50532e-06	-2.57047e-07	5.8166e-06	-7.098
3.82916e-06	-1.09664e-06	3.2955e-06	0.48
-1.04402e-06	2.75254e-06	2.17139e-06	-44.088
1.27359e-06	-1.24146e-06	3.74673e-06	-93.624
2.07221e-06	-1.29548e-06	1.50735e-06	-78.72
2.39817e-06	-4.71717e-07	2.57792e-06	14.106
