Position (mm) 	 Delay (ps) 	 X (V) 	 Y (V) 	 R (V) 	 theta (°)
10.9	7.2703e-11	1.90736e-06	-1.90736e-06	0.0	-45.0
10.903	7.272301e-11	0.0	0.0	0.0	0.0
10.906	7.274302e-11	0.0	-1.90736e-06	0.0	-90.0
10.909	7.276303000000001e-11	1.90736e-06	0.0	1.90736e-06	0.0
10.912	7.278304e-11	0.0	-1.90736e-06	0.0	0.0
10.915	7.280304999999999e-11	1.90736e-06	0.0	1.90736e-06	26.562
10.918	7.282306e-11	0.0	-1.90736e-06	0.0	-90.0
10.921	7.284306999999999e-11	1.90736e-06	0.0	1.90736e-06	0.0
10.924	7.286307999999999e-11	0.0	-1.90736e-06	0.0	-45.0
10.9275	7.2886425e-11	0.0	0.0	1.90736e-06	0.0
10.9305	7.2906435e-11	0.0	0.0	0.0	45.0
10.9335	7.2926445e-11	1.90736e-06	0.0	1.90736e-06	0.0
10.9365	7.2946455e-11	0.0	0.0	0.0	0.0
10.9395	7.2966465e-11	1.90736e-06	0.0	1.90736e-06	0.0
10.9425	7.2986475e-11	0.0	-1.90736e-06	0.0	-45.0
10.9455	7.3006485e-11	0.0	-1.90736e-06	0.0	-45.0
10.9485	7.302649499999999e-11	0.0	0.0	0.0	0.0
10.9515	7.304650499999999e-11	0.0	0.0	0.0	0.0
10.9545	7.3066515e-11	1.90736e-06	0.0	1.90736e-06	0.0
10.9575	7.3086525e-11	0.0	-1.90736e-06	0.0	-90.0
10.9605	7.310653499999999e-11	1.90736e-06	0.0	0.0	0.0
10.9635	7.3126545e-11	0.0	-1.90736e-06	0.0	-45.0
10.9665	7.3146555e-11	1.90736e-06	0.0	1.90736e-06	26.562
10.9695	7.316656499999999e-11	0.0	0.0	0.0	0.0
10.9725	7.3186575e-11	0.0	-1.90736e-06	0.0	0.0
10.976	7.320992e-11	0.0	0.0	0.0	0.0
10.979	7.322992999999999e-11	0.0	0.0	0.0	0.0
10.982	7.324994e-11	0.0	0.0	0.0	0.0
10.985	7.326994999999999e-11	0.0	0.0	0.0	0.0
10.988	7.328995999999999e-11	0.0	-1.90736e-06	0.0	-45.0
10.991	7.330997e-11	0.0	0.0	0.0	0.0
10.994	7.332998e-11	0.0	0.0	0.0	0.0
10.997	7.334998999999999e-11	0.0	-1.90736e-06	0.0	0.0
11.0	7.337e-11	0.0	0.0	0.0	0.0
11.003	7.339001e-11	0.0	-1.90736e-06	0.0	0.0
11.006	7.341002e-11	0.0	0.0	0.0	0.0
11.009	7.343003e-11	0.0	0.0	0.0	0.0
