X 	 Y 	 R 	 theta 

-0.000458719	0.000117302	0.000477793	157.41
-0.000532154	0.000167848	0.000574116	158.55
-0.000467302	3.52862e-05	0.000508312	174.666
-0.000496868	9.34605e-05	0.000472071	167.436
-0.000587467	0.000115395	0.000619892	173.178
-0.000505451	5.43597e-05	0.000514034	162.9
-0.000419619	0.000218392	0.0004921	154.02
-0.000454905	0.000127793	0.000467302	149.34
-0.000540737	4.76839e-05	0.000473978	169.584
-0.000554089	0.000169755	0.000572208	160.014
-0.000377657	5.24523e-05	0.00037575	158.61
-0.000452043	0.00014782	0.000529293	164.436
-0.000361444	0.000149728	0.00040436	151.266
-0.000456812	0.000235558	0.000477793	148.752
-0.000496868	0.000176431	0.000481607	161.568
-0.000598911	0.000223161	0.000601772	155.514
-0.000411989	9.15532e-05	0.000478746	161.844
-0.000536922	0.000113488	0.000630382	166.206
-0.000462534	0.00016594	0.000545505	159.936
-0.000594143	8.01091e-05	0.000571255	170.388
-0.000578884	-4.95913e-05	0.000527386	173.124
-0.000606541	0.000127793	0.000581745	165.498
-0.000569347	0.000104905	0.000507358	176.016
-0.000604633	0.000176431	0.00057793	161.568
-0.000466349	0.000143052	0.000487329	168.966
-0.000510219	0.00010109	0.000509266	172.938
-0.000505451	7.91554e-05	0.000545505	171.078
-0.000517849	6.5804e-05	0.000511173	167.82
-0.000508312	0.000127793	0.00059605	174.216
-0.000598911	0.000249865	0.000558857	156.018
-0.000656132	2.19346e-05	0.000640873	175.578
-0.000507358	0.000293734	0.000604633	158.454
-0.000560764	0.00023842	0.000619892	166.056
-0.000594143	0.000157357	0.000646595	154.194
-0.000550274	0.00016594	0.000701908	172.05
-0.000600819	7.05724e-05	0.000486376	163.242
-0.000555996	0.000229836	0.000595096	170.64
-0.000621799	0.000228883	0.000612263	160.074
-0.000583652	0.000117302	0.000564579	169.932
-0.000601772	4.19619e-05	0.00069714	170.706
-0.000587467	0.00017357	0.000659946	162.114
-0.00064278	0.000159265	0.000682835	169.23
-0.000589374	8.67848e-05	0.000521664	166.074
-0.000708584	0.000128747	0.00067902	176.226
-0.000692371	0.000164033	0.000612263	165.732
-0.000758175	5.43597e-05	0.000752453	177.468
-0.000698093	5.43597e-05	0.000670437	170.868
-0.000498775	9.91826e-05	0.000457766	172.776
-0.000665668	8.58312e-05	0.000716213	172.338
-0.000576023	0.000229836	0.000566486	158.04
-0.000560764	0.000140191	0.000574116	161.22
-0.000749592	8.96459e-05	0.000675205	165.696
-0.000644688	0.000107766	0.000579838	162.42
-0.000582699	0.000250818	0.0006609	163.392
-0.000512127	0.00010109	0.000586513	162.792
-0.000711445	0.000177384	0.000732426	165.582
-0.000672344	0.000211717	0.000655178	169.038
-0.000526432	0.000234605	0.00056744	165.804
-0.000476839	7.34334e-05	0.00059605	169.698
-0.000777248	9.72752e-05	0.000778202	173.136
-0.000539783	0.00019455	0.000631336	166.578
-0.000522617	0.000192643	0.000593189	166.734
-0.000685696	0.000217439	0.000702862	164.514
-0.000483515	-2.28883e-05	0.000536922	172.26
-0.000657085	0.000234605	0.000658039	159.342
-0.000578884	0.000180245	0.000675205	166.968
-0.000604633	0.000152589	0.000637058	171.108
-0.000541691	9.82289e-05	0.000580791	178.662
-0.000569347	6.77113e-05	0.000581745	173.874
-0.000510219	0.000179292	0.000547413	164.268
-0.000534061	0.00021267	0.000655178	161.268
-0.000561718	5.53133e-05	0.000548366	168.744
-0.000566486	0.000143052	0.000602726	165.48
-0.000523571	0.000168801	0.000542644	165.63
-0.000507358	7.34334e-05	0.000553135	176.814
-0.000436785	5.3406e-05	0.00055695	174.138
-0.000480654	9.44142e-05	0.000476839	158.166
-0.000411035	8.67848e-05	0.000415804	164.82
-0.000360491	9.05995e-05	0.000331881	176.052
-0.000325205	0.000114441	0.000340464	167.622
-0.00032139	8.10628e-05	0.000288965	142.938
-0.00020218	8.58313e-06	0.000320436	175.446
-0.000267031	0.000167848	0.000189782	137.274
-9.5368e-06	-8.01091e-05	8.77385e-05	-170.196
-0.000106812	5.72207e-05	0.000214578	170.208
0.000102997	-0.000106812	0.000132562	-60.018
0.000110627	-3.05178e-05	8.01091e-05	9.894
6.67575e-06	-8.01091e-05	0.000135423	-40.266
0.000171662	-0.000120163	0.000152589	-27.804
0.000204087	-0.00023842	0.000369074	-44.244
0.00038624	-0.000133515	0.000391008	-24.942
0.000464441	-0.000193597	0.000473024	-22.65
0.000535015	-0.000297548	0.000583652	-20.736
0.000622753	-0.000301363	0.000690464	-21.288
0.000787739	-0.00032139	0.000905041	-21.006
