Position (mm) 	 Delay (ps) 	 X 	 Y 	 R 	 theta 

5.0	3.33565e-11	-2.32459e-05	-5.31676e-05	3.33788e-05	-170.304
5.1	3.402363e-11	4.41077e-06	-3.51074e-05	3.45113e-05	-39.066
5.2	3.469076e-11	-3.45709e-05	1.78815e-06	4.29752e-05	-94.35
5.3	3.535789e-11	-1.55569e-05	2.08021e-05	2.1279e-05	26.136
5.4	3.602502e-11	8.64273e-06	-8.69636e-05	9.44738e-05	-70.536
5.5	3.669215e-11	-6.90822e-05	-6.23469e-05	9.88846e-05	-164.922
5.6	3.735928e-11	-2.05637e-05	2.87296e-05	0.000122131	174.516
5.7	3.802641e-11	9.66196e-05	3.08158e-05	6.50291e-05	90.81
5.8	3.869354e-11	-1.68682e-05	-2.7299e-05	4.52402e-05	-156.216
5.9	3.936067e-11	-7.24797e-05	1.45436e-05	4.59554e-05	-137.094
6.0	4.00278e-11	-3.58822e-05	-4.20811e-05	6.61616e-05	145.014
