Position (mm) 	 Delay (s) 	 X 	 Y 	 R 	 theta 
#Without Preamplifier, ZnTe detector angle dependance 50deg, Chopper 230Hz, time constant=0.03, sensitivity=20mV
6.0	4.00278e-11	-1.71663e-05	4.19619e-05	6.00817e-05	109.518
6.03	4.0227939e-11	3.33788e-05	-9.5368e-06	3.05178e-05	-103.422
6.06	4.0428078e-11	4.38693e-05	-5.3406e-05	0.000103951	-20.022
6.09	4.0628217e-11	-2.3842e-05	-1.23978e-05	2.3842e-05	107.748
6.12	4.0828356e-11	2.0981e-05	2.57493e-05	6.48503e-05	38.478
6.15	4.1028495e-11	-2.9564e-05	-2.9564e-05	3.14715e-05	-104.382
6.18	4.1228633999999996e-11	-1.71663e-05	-4.95913e-05	5.0545e-05	-66.54
6.21	4.1428772999999995e-11	5.72208e-06	1.71663e-05	5.0545e-05	118.122
6.24	4.1628912e-11	1.81199e-05	-2.6703e-05	1.33515e-05	-109.536
6.27	4.1829050999999994e-11	-5.24523e-05	6.67577e-05	4.57766e-05	127.878
6.3	4.2029189999999994e-11	-3.81473e-06	-2.6703e-05	2.0981e-05	-61.116
6.33	4.2229329e-11	4.67303e-05	1.52589e-05	4.86376e-05	-1.848
6.36	4.2429468e-11	-4.95913e-05	1.62126e-05	2.57493e-05	-136.734
6.39	4.2629607e-11	-6.67575e-06	-2.0981e-05	5.14986e-05	-155.922
6.42	4.2829746e-11	-8.01091e-05	-4.48229e-05	8.29701e-05	-129.666
6.45	4.3029885e-11	8.58313e-06	-2.76567e-05	5.24523e-05	-118.236
6.48	4.3230024e-11	-6.67575e-06	3.81473e-06	2.28883e-05	-177.798
6.51	4.3430162999999996e-11	-3.43325e-05	-2.28883e-05	4.10082e-05	-126.672
6.54	4.3630301999999995e-11	-1.62126e-05	-6.00817e-05	5.24523e-05	-94.482
6.57	4.3830441e-11	-2.76567e-05	4.10082e-05	5.24523e-05	89.286
6.6	4.4030579999999994e-11	-2.9564e-05	0.0	7.24797e-05	155.454
6.63	4.4230719e-11	-3.71935e-05	2.28883e-05	2.47956e-05	91.362
6.66	4.4430858e-11	4.10082e-05	2.3842e-05	2.76567e-05	-21.036
6.69	4.4630997e-11	-3.05178e-05	-4.7684e-06	4.10082e-05	96.054
6.72	4.4831136e-11	3.05178e-05	1.23978e-05	1.90736e-06	-144.09
6.75	4.5031275e-11	-1.71663e-05	-5.81744e-05	5.9128e-05	-58.89
6.78	4.5231414e-11	6.67575e-06	2.57493e-05	3.52862e-05	-169.92
6.81	4.5431552999999997e-11	2.00273e-05	-7.62945e-06	4.57766e-05	28.902
6.84	4.5631691999999996e-11	-4.19619e-05	-1.71663e-05	3.52862e-05	-160.116
