Time (s) 	 Position (mm) 	 Delay (s) 	 X 	 Y 	 R 	 theta 
#Without Preamplifier, ZnTe detector angle dependance 40deg, Chopper 230Hz, time constant=0.3s 6dB, waiting time= 1.5s, sensitivity=20mV
2.4799	6.0	4.00278e-11	-0.000167848	2.0981e-05	0.000214578	-80.586
4.8778	6.1	4.0694929999999993e-11	1.23978e-05	-0.000222207	0.000289919	98.616
6.9567	6.2	4.136206e-11	-0.000295641	-0.000188828	0.000269892	-134.136
9.3079	6.3	4.2029189999999994e-11	0.000227929	-0.00018406	0.000223161	69.804
11.3867	6.4	4.269632e-11	0.00015545	-4.19619e-05	0.000211717	-62.874
13.4667	6.5	4.336345e-11	0.000107766	-0.00018406	0.000267031	17.442
15.5459	6.6	4.4030579999999994e-11	-6.2943e-05	0.000156404	0.000273706	-136.146
17.6247	6.7	4.469771e-11	0.000363352	1.23978e-05	0.000400545	-41.064
19.702	6.8	4.5364839999999995e-11	-0.000171662	-0.000378611	8.96459e-05	-103.872
22.054	6.9	4.603197e-11	-0.000204087	0.000174523	0.000301363	-14.724
24.134	7.0	4.6699099999999995e-11	-9.91826e-05	0.000132562	0.000197412	-130.674
26.4679	7.1	4.7366229999999995e-11	0.000263216	7.43871e-05	0.00025654	69.792
28.5637	7.2	4.8033359999999996e-11	0.000199319	-6.8665e-05	0.000218392	101.64
30.898	7.3	4.8700489999999996e-11	-0.000251772	-8.86922e-05	0.000279428	-60.204
32.9766	7.4	4.936762e-11	0.000159265	0.000201226	0.000266077	4.002
35.0392	7.5	5.0034749999999996e-11	0.000177384	-0.00011158	0.000257494	93.24
37.1356	7.6	5.0701879999999996e-11	-0.000102044	-3.62399e-05	0.000251772	117.822
39.2142	7.7	5.1369009999999997e-11	0.000107766	0.000314714	0.000214578	26.424
41.2937	7.8	5.203614e-11	-0.00023079	-0.000122071	0.000287058	-126.096
43.6279	7.9	5.270327e-11	0.000255587	-0.000150681	0.000275614	81.702
45.7221	8.0	5.33704e-11	3.62399e-05	0.000229836	0.000289919	-96.126
48.0745	8.1	5.403753e-11	0.000201226	-4.19619e-05	0.000236512	107.292
50.1537	8.2	5.470465999999999e-11	9.63216e-05	0.000263216	0.000223161	-4.914
52.2326	8.3	5.5371790000000004e-11	-0.000201226	-0.00023842	0.000206948	-113.88
54.3267	8.4	5.603892e-11	-6.67577e-05	-0.000118256	0.000254633	-95.622
56.6779	8.5	5.670605e-11	5.72208e-06	-0.000157357	0.000280382	-122.532
58.7736	8.6	5.737317999999999e-11	0.000213624	0.000167848	0.000228883	-100.8
60.852	8.7	5.804030999999999e-11	0.000176431	0.00014782	0.000224114	-67.23
62.9143	8.8	5.870744e-11	0.000252726	0.000241281	0.000200273	71.358
65.0105	8.9	5.937457e-11	-0.000233651	8.48775e-05	0.000227929	-80.436
