X 	 Y 	 R 	 theta 
#With Preamplifier, Finding A, ZnTe detector angle dependance 40deg, Chopper inside probe 388Hz inside Pump 230Hz, time constant=0.3s 18dB, waiting time= 1s, sensitivity=20mV, position 11.0085mm
0.00046158	0.0204393	0.0204469	88.68
0.000473024	0.0204316	0.0204393	88.674
0.000518803	0.0204049	0.0204126	88.542
0.000511173	0.0204278	0.0204355	88.59
0.000415804	0.0205499	0.0205499	88.854
0.000450136	0.020485	0.0204889	88.734
0.000446321	0.0204889	0.0204927	88.734
0.000499729	0.0204583	0.020466	88.608
0.000408174	0.0206186	0.0206224	88.878
0.000377657	0.0206681	0.020672	88.938
0.000427248	0.0205232	0.0205232	88.782
0.000392916	0.0205499	0.0205575	88.92
0.000328066	0.0206033	0.0206033	89.082
0.000343325	0.0206109	0.0206186	89.034
0.00039673	0.0206224	0.0206262	88.89
0.000434877	0.0205499	0.0205499	88.782
0.000446321	0.0204927	0.0204965	88.74
0.000453951	0.0204889	0.0204927	88.74
0.00040436	0.0205995	0.0206033	88.89
0.000423433	0.0204889	0.0204927	88.8
0.000419619	0.0205117	0.0205156	88.806
0.000419619	0.0205842	0.0205919	88.842
0.000392916	0.0205804	0.0205804	88.914
0.000385286	0.0206147	0.0206186	88.926
0.000328066	0.0206834	0.020691	89.088
0.000316622	0.0207254	0.0207292	89.112
0.000415804	0.0205499	0.0205537	88.836
0.000350954	0.0206109	0.0206186	89.016
0.000331881	0.02063	0.0206338	89.094
0.000320436	0.020672	0.0206758	89.124
0.000293734	0.0207025	0.0207025	89.172
0.000328066	0.0206949	0.0206987	89.076
0.000408174	0.0205995	0.0206033	88.86
0.000400545	0.0205156	0.0205156	88.872
0.000446321	0.0205232	0.0205308	88.746
0.000411989	0.0205613	0.0205652	88.848
0.000427248	0.0205499	0.0205537	88.812
0.000392916	0.0205995	0.0206033	88.89
0.000434877	0.0205575	0.0205613	88.776
0.000453951	0.0205308	0.0205384	88.734
0.000419619	0.020569	0.020569	88.842
0.000419619	0.020527	0.0205308	88.83
0.000392916	0.0205232	0.0205308	88.914
0.000350954	0.0206262	0.0206338	89.028
0.000358583	0.0206338	0.0206376	88.992
0.000328066	0.0206453	0.0206491	89.1
0.000289919	0.020733	0.020733	89.178
0.000320436	0.0206987	0.0206987	89.106
0.000385286	0.0205613	0.0205613	88.914
0.000366213	0.0206491	0.0206529	88.974
0.000373842	0.0206147	0.0206186	88.974
0.000385286	0.0206262	0.02063	88.938
0.000320436	0.020733	0.0207368	89.118
0.000324251	0.020691	0.0206949	89.106
0.000389101	0.020588	0.020588	88.908
0.000446321	0.020588	0.0205957	88.728
0.000499729	0.0204431	0.0204545	88.602
0.000442507	0.020569	0.020569	88.782
0.000423433	0.020569	0.020569	88.812
0.0004921	0.0205117	0.0205156	88.602
0.000442507	0.0205499	0.0205537	88.776
0.000415804	0.0206262	0.02063	88.854
0.000408174	0.0206262	0.02063	88.854
0.000400545	0.0206414	0.0206453	88.86
0.000434877	0.0205423	0.0205423	88.794
0.00040436	0.0205613	0.0205652	88.884
0.000389101	0.0206414	0.0206414	88.902
0.000411989	0.0206338	0.0206376	88.842
0.000453951	0.0205346	0.0205423	88.734
0.000431063	0.0205384	0.0205384	88.788
0.000411989	0.0205423	0.0205423	88.848
0.00033951	0.0206033	0.0206071	89.064
0.000385286	0.0205728	0.0205804	88.95
0.000305178	0.0206605	0.0206643	89.142
0.000247957	0.0208055	0.0208055	89.304
0.000301363	0.0207101	0.0207177	89.16
0.000263216	0.0207902	0.0207902	89.292
0.000102997	0.0210344	0.0210344	89.718
0.000263216	0.0207826	0.0207826	89.238
0.000343325	0.0206567	0.0206643	89.046
0.000301363	0.0207978	0.0208017	89.166
0.00033951	0.0207101	0.0207101	89.022
0.000347139	0.0206681	0.020672	89.028
0.000427248	0.0205423	0.0205461	88.818
0.000473024	0.0204622	0.020466	88.65
0.000499729	0.0204469	0.0204545	88.608
0.000476839	0.0204126	0.0204202	88.644
0.000499729	0.0204622	0.0204698	88.62
0.000381472	0.02063	0.02063	88.914
0.000411989	0.0205613	0.0205652	88.848
0.000392916	0.0205919	0.0205957	88.944
0.000316622	0.0207177	0.0207177	89.124
0.000392916	0.0206109	0.0206147	88.89
0.000415804	0.0205652	0.020569	88.842
0.000370027	0.0206109	0.0206147	88.962
0.000438692	0.0205079	0.0205079	88.752
0.000499729	0.0204126	0.0204164	88.578
0.000503544	0.0204164	0.020424	88.578
0.0004921	0.0204126	0.0204202	88.626
0.000488285	0.0204126	0.020424	88.608
