X 	 Y 	 R 	 theta 

-0.000268342	-6.54464e-05	0.000257971	-169.212
-0.000327947	-3.60014e-05	0.00032437	-176.67
-0.000257136	-4.8876e-05	0.000252487	-171.804
-0.000327351	-3.09946e-06	0.00032294	-175.962
-0.000322225	1.78815e-06	0.000288846	-175.056
-0.000277402	-9.73945e-05	0.000316503	-166.938
-0.000304224	-3.87433e-05	0.000306489	-175.464
-0.000307323	-2.18154e-05	0.000341417	-176.64
-0.000337364	-7.2718e-06	0.000304105	-166.02
-0.00029433	-2.37228e-05	0.000266792	-172.236
-0.000289442	1.52589e-05	0.000259163	-172.65
-0.000304105	-5.37636e-05	0.000237823	-166.77
-0.000257136	-6.44927e-05	0.000293495	-163.038
-0.000281932	-3.96969e-05	0.000320556	-177.738
-0.000290992	-0.00010407	0.00031531	-164.208
-0.000261905	-5.14986e-05	0.000340464	-170.91
-0.000308992	-6.34198e-05	0.000301244	-169.482
-0.000302913	-2.52725e-05	0.000337245	-174.96
-0.00038016	-6.03201e-05	0.000359299	-177.222
-0.000272395	-8.78577e-05	0.00031543	-162.822
-0.000318529	-0.000130177	0.000311496	-163.884
-0.00038767	-5.30484e-05	0.000386478	-167.226
-0.00031233	-3.95777e-05	0.000301482	-175.746
-0.000311138	1.31131e-06	0.000330092	-174.294
-0.000330688	-6.19893e-05	0.000331284	-164.58
-0.000331523	-2.76567e-05	0.000351431	-171.102
-0.000326397	-4.828e-05	0.000342729	178.704
-0.000356795	-4.76839e-05	0.000339391	-172.014
-0.000328066	-4.86376e-05	0.000339868	-174.45
-0.000325086	-4.99489e-05	0.00031233	-178.5
-0.000388505	-2.51533e-05	0.000339748	-176.826
-0.000357749	1.15634e-05	0.000335218	178.374
-0.0003531	7.15259e-07	0.00034547	173.874
-0.000377895	-7.22413e-05	0.000383021	-169.536
-0.000380041	-6.17509e-05	0.000346901	-173.148
-0.000370027	-7.51021e-06	0.0003711	177.366
-0.000381233	6.43733e-06	0.000406744	-174.078
-0.000384333	-0.000102759	0.000373723	-169.038
-0.000334622	3.09946e-05	0.000368001	175.536
-0.000358464	-4.57766e-05	0.000355961	-166.782
-0.000310184	-8.07052e-05	0.000332	-177.054
-0.000394585	-9.72752e-05	0.000415923	-170.82
-0.000287535	-5.25715e-05	0.000335457	-168.546
-0.000344159	-1.21594e-05	0.000344278	-176.832
-0.000416281	-2.84911e-05	0.000404598	-175.278
-0.000321032	-8.77385e-05	0.000338556	-169.362
-0.000358822	-5.25715e-05	0.000337126	-166.854
-0.000353219	-7.48639e-05	0.000349643	-167.718
-0.000397207	-7.96323e-05	0.000430943	-165.918
-0.000402095	-4.67303e-05	0.000445487	-178.242
-0.000380518	-4.94721e-05	0.000394227	-170.88
-0.000325562	-5.35252e-05	0.000291707	-176.07
-0.000404717	-5.26907e-05	0.000373842	-173.772
-0.000403525	-5.5671e-05	0.00037873	-166.284
-0.000348689	-7.06916e-05	0.000376584	-165.78
-0.000389578	-3.76704e-05	0.000394465	-178.626
-0.00035012	-2.68222e-05	0.000350358	-175.59
-0.000374081	-1.68086e-05	0.000406863	-173.064
-0.000396254	-5.75783e-05	0.000395896	-175.782
-0.000429155	-5.60286e-05	0.000430228	-175.17
-0.000386717	1.54973e-06	0.000379683	-176.574
-0.000391128	-4.86376e-05	0.000419738	-169.368
-0.00040734	-7.62944e-05	0.000460865	-177.384
-0.000351669	-0.000107885	0.00040579	-164.124
-0.000393869	-7.74865e-05	0.000339152	-169.218
-0.000420572	-5.55518e-05	0.000383498	-174.618
-0.000331404	-0.000107766	0.000367286	-167.49
-0.000418784	-7.73673e-05	0.000442626	-168.9
-0.000305058	-3.88625e-05	0.00031233	-166.794
-0.000373842	-1.21594e-05	0.000383975	-176.526
-0.000358583	-9.34605e-05	0.000351312	-160.986
-0.000385763	-7.91554e-05	0.000372412	-165.03
-0.000417354	-1.71663e-05	0.000424745	-175.884
-0.000292422	-5.82936e-05	0.000281693	-179.232
-0.00027621	-3.93393e-05	0.000337603	-166.194
-0.000236393	-3.52862e-05	0.000223757	-163.056
-0.000308039	-7.76057e-05	0.000324728	-162.474
-0.000268938	-8.92882e-05	0.000225426	-167.892
-0.00025952	-0.000110269	0.000262858	-157.506
-0.000260951	-5.03066e-05	0.00023234	-161.334
-0.000181199	2.36036e-05	0.000195385	-177.744
