Position (mm) 	 Delay (ps) 	 X (V) 	 Y (V) 	 R (V) 	 theta (°)
10.9	7.2703e-11	-0.00462154	-0.00674251	0.00855452	-136.626
10.903	7.272301e-11	-0.00427058	0.00781256	0.00861937	106.512
10.906	7.274302e-11	0.00839239	0.000951771	0.00854307	-2.154
10.909	7.276303000000001e-11	-0.00109101	-0.0084458	0.00860411	-106.44
10.912	7.278304e-11	-0.00804716	0.00379182	0.00870901	147.318
10.915	7.280304999999999e-11	0.00547794	0.00631145	0.00868803	37.824
10.918	7.282306e-11	0.00490382	-0.00740054	0.00859839	-68.19
10.921	7.284306999999999e-11	-0.00826651	-0.00195505	0.00862318	-173.34
10.924	7.286307999999999e-11	-9.15532e-05	0.00864989	0.00871092	80.754
10.9275	7.2886425e-11	0.00848013	-0.00277521	0.00878721	-27.378
10.9305	7.2906435e-11	-0.00475314	-0.00681117	0.00865561	-136.254
10.9335	7.2926445e-11	-0.00540164	0.00722316	0.00870711	117.438
10.9365	7.2946455e-11	0.00805289	0.00243188	0.00853544	7.842
10.9395	7.2966465e-11	4.19619e-05	-0.00883108	0.00881964	-100.29
10.9425	7.2986475e-11	-0.00839239	0.00304605	0.00877959	150.978
10.9455	7.3006485e-11	0.00538447	0.00649264	0.00874907	39.588
10.9485	7.302649499999999e-11	-0.000104905	-0.00871664	0.00871283	-102.432
10.9515	7.304650499999999e-11	-0.0081082	0.00376131	0.00868803	147.642
10.9545	7.3066515e-11	0.00563052	0.00634959	0.00875288	39.684
10.9575	7.3086525e-11	0.00523189	-0.00758937	0.0088864	-64.314
10.9605	7.310653499999999e-11	-0.00807959	-0.00304605	0.00871283	-167.976
10.9635	7.3126545e-11	-0.00100137	0.00891501	0.00896269	84.606
10.9665	7.3146555e-11	0.00831038	-0.00334932	0.0087567	-30.99
10.9695	7.316656499999999e-11	-0.00490001	-0.00698856	0.00888258	-134.724
10.9725	7.3186575e-11	-0.00556758	0.00708202	0.00879484	119.856
10.976	7.320992e-11	0.00813681	0.00291063	0.00880629	12.72
10.979	7.322992999999999e-11	0.00113488	-0.00879675	0.00876623	-95.112
10.982	7.324994e-11	-0.00873381	0.00240518	0.00893599	157.794
10.985	7.326994999999999e-11	0.00429347	0.00758937	0.00896651	51.204
10.988	7.328995999999999e-11	0.00101281	-0.00905997	0.00903708	-97.176
10.991	7.330997e-11	-0.00865179	0.00283243	0.00894171	152.802
10.994	7.332998e-11	0.00511363	0.00702289	0.0089646	42.87
10.997	7.334998999999999e-11	0.00554469	-0.00741771	0.00907141	-64.128
11.0	7.337e-11	-0.00868994	-0.00228883	0.00916487	-174.816
11.003	7.339001e-11	-0.00019455	0.00919729	0.0091992	80.82
11.006	7.341002e-11	0.00898367	-0.00303461	0.00928122	-28.098
11.009	7.343003e-11	-0.00506595	-0.00749972	0.0092507	-135.06
11.012	7.345004e-11	-0.00604823	0.00773433	0.00949675	116.526
11.015	7.347005e-11	0.00863272	0.00252534	0.0091725	7.134
11.018	7.349006e-11	0.000219346	-0.00846678	0.00845915	-101.118
11.021	7.351007e-11	-0.00759318	0.00353242	0.00812727	145.35
11.024	7.353007999999999e-11	0.00522807	0.00592235	0.00819784	38.016
11.0275	7.3553425e-11	0.00413898	-0.00714496	0.00803953	-71.706
11.0305	7.3573435e-11	-0.0074673	0.00398639	0.00819212	141.504
11.0335	7.359344499999999e-11	0.0056496	0.00567248	0.00831991	36.318
11.0365	7.3613455e-11	0.0056515	-0.00800902	0.00956732	-65.196
11.0395	7.3633465e-11	-0.00817877	-0.00250627	0.00868803	-171.882
11.0425	7.3653475e-11	-7.05724e-05	0.00854498	0.00854117	81.582
11.0455	7.3673485e-11	0.00827795	-0.00288583	0.008627	-25.83
11.0485	7.3693495e-11	-0.00443843	-0.00707057	0.00857741	-133.782
11.0515	7.3713505e-11	-0.00532916	0.00704196	0.00850493	114.972
11.0545	7.373351500000001e-11	0.00810057	0.00236131	0.00860029	6.882
11.0575	7.375352499999999e-11	-0.00485042	-0.00675967	0.00860983	-134.916
11.0605	7.377353499999999e-11	-0.00515178	0.00708202	0.00856405	117.87
11.0635	7.3793545e-11	0.0078488	0.00265314	0.00838286	9.27
11.0665	7.381355499999999e-11	0.000316622	-0.00833708	0.00831801	-99.738
11.0695	7.383356499999999e-11	-0.00793654	0.00250818	0.0082112	153.456
