X 	 Y 	 R 	 theta 

-0.000265272	-5.59988e-05	0.000253918	-164.484
-0.000243009	-1.57357e-05	0.000274988	-174.138
-0.000334742	-3.99651e-05	0.000314476	-178.794
-0.000345351	-1.77325e-05	0.000282975	178.128
-0.000278475	-5.77869e-05	0.000305237	-168.06
-0.00029269	-3.5614e-05	0.000279011	-165.618
-0.000266435	-3.72233e-05	0.000298591	-178.266
-0.000317456	1.64212e-05	0.000334563	176.496
-0.000332149	9.5666e-06	0.000305654	-178.266
-0.000269236	-1.78219e-05	0.000279041	-179.196
-0.00029126	-2.51533e-05	0.000303091	-171.774
-0.000275912	2.4438e-06	0.000300469	-174.342
-0.000341805	-6.22873e-05	0.00033796	-166.146
-0.000295551	-1.84775e-06	0.00028074	-178.464
-0.000361832	-5.33166e-05	0.000363143	-173.424
-0.000278505	-1.61232e-05	0.000281932	-169.452
-0.000322701	-1.60636e-05	0.000335755	-172.398
-0.000320675	-3.82068e-05	0.000349941	-174.258
-0.000309141	-0.000137121	0.000360312	-163.266
-0.000346484	1.06395e-05	0.000354709	-174.012
-0.000312151	-3.96969e-05	0.000316562	-172.146
-0.000352742	-3.81473e-06	0.000346811	178.458
-0.000363471	-6.37774e-05	0.000290455	-176.016
-0.000348808	-5.31676e-05	0.000356348	-174.066
-0.000321092	-2.86104e-06	0.000317873	-172.812
-0.000380905	-2.23519e-06	0.000389071	-170.292
-0.000341507	-1.64212e-05	0.000370415	-179.184
-0.000311496	-6.42543e-05	0.000335248	-169.746
-0.000291528	1.73749e-05	0.000298472	176.934
-0.000295551	-4.07102e-05	0.000287266	-177.798
-0.000312628	-3.48093e-05	0.000317248	-169.782
-0.000288101	-6.44331e-05	0.000297995	-170.976
-0.000323417	2.15174e-05	0.000334086	-177.276
-0.00034097	1.72557e-05	0.000340195	171.324
-0.000286045	-3.69849e-05	0.000285866	-168.114
-0.000334205	-7.97813e-05	0.000347706	-166.668
-0.000326248	-8.86326e-05	0.000327589	-166.968
-0.000407102	-3.00409e-05	0.000412615	-171.75
-0.000369372	-5.81744e-05	0.000397267	-173.886
-0.000327053	-4.99489e-05	0.00032741	-177.78
-0.000342371	4.03824e-05	0.000364007	173.808
-0.000330271	-0.000111014	0.000380041	-156.174
-0.0004043	-9.73945e-05	0.000405373	-171.498
-0.000349225	-4.00546e-05	0.000345232	-173.478
-0.00032142	-5.97241e-05	0.00040135	-170.556
-0.000340404	-8.3596e-05	0.000333609	-169.824
-0.00039077	-9.9719e-05	0.00039673	-174.294
-0.000381352	-7.33738e-05	0.000407578	-172.95
-0.000295462	7.62945e-06	0.000299843	178.188
-0.00038618	-3.87433e-05	0.000396403	-167.292
-0.000383707	-1.89842e-05	0.000354918	-171.582
-0.000374438	-8.98545e-05	0.000357302	-173.526
-0.000418635	-0.000115812	0.000410708	-164.682
-0.000372441	-1.67788e-05	0.000383915	-179.1
-0.00042993	-6.04989e-05	0.00044346	-170.172
-0.000332208	-2.36036e-05	0.000353517	-172.95
-0.000394167	-0.000107527	0.000414731	-162.33
-0.000375928	-3.60908e-05	0.000364276	-171.144
-0.000400038	-0.000125499	0.000365349	-167.76
-0.000348689	-6.18403e-05	0.000363054	-168.552
-0.000407429	-0.000117064	0.000412883	-161.904
-0.000397863	-6.80392e-05	0.00039232	-169.002
-0.000405999	-1.15336e-05	0.000383915	-176.73
-0.000403287	-9.37288e-05	0.000438752	-167.436
-0.000424774	-7.79633e-05	0.000418099	-173.502
-0.000375034	7.89767e-06	0.000363799	-179.754
-0.000421496	-6.8069e-05	0.000398727	-173.388
-0.00038013	-9.46526e-05	0.000405313	-165.948
-0.000364901	-1.36197e-05	0.000392737	-168.528
-0.000381472	-6.42841e-05	0.000429185	-170.688
-0.000371398	-3.09052e-05	0.000329496	-175.368
-0.000367763	-5.73101e-05	0.000403585	-171.174
-0.000293644	-7.67712e-05	0.000338407	-166.656
-0.000364156	-3.53458e-05	0.000401111	-179.406
-0.00026706	-4.88164e-05	0.000300797	-170.562
-0.000309618	-7.6354e-05	0.000268193	-167.808
-0.000280352	-8.17184e-05	0.000304522	-164.46
-0.000290813	-8.83942e-05	0.000306251	-164.694
-0.000169755	-7.6503e-05	0.000208349	-157.26
-0.000217975	-8.72021e-05	0.000219853	-160.464
-0.000224859	-5.63266e-05	0.000195445	-158.268
-0.000136704	7.3016e-06	0.000134201	-165.24
-0.000129403	-8.22847e-05	0.000139893	-153.366
-0.000117362	-2.41698e-05	0.0001418	-154.476
-7.49831e-05	-1.38879e-05	8.07946e-05	-164.568
1.54973e-05	1.54079e-05	2.31267e-05	-46.986
8.35066e-05	8.48775e-05	0.00010705	50.922
8.27913e-05	4.84886e-05	9.60534e-05	9.924
0.00011462	5.52239e-05	0.00014484	34.602
0.000213535	6.20787e-05	0.000231267	12.792
0.00033203	0.000100583	0.000302853	22.602
0.000367107	4.40481e-05	0.000358852	9.87
0.000476183	0.000101388	0.000507537	16.236
0.00044349	0.000136555	0.000452342	16.266
0.000546072	0.000186474	0.000546072	18.48
0.000546072	0.000198097	0.000546072	16.872
0.000546072	0.000200928	0.000546072	14.676
0.000546072	0.000191153	0.000546072	14.124
0.000546072	0.000181795	0.000546072	15.096
0.000546072	0.000210346	0.000546072	15.486
0.000546072	0.000263603	0.000546072	14.34
0.000546072	0.00028977	0.000546072	17.412
0.000546072	0.000310661	0.000546072	17.526
0.000546072	0.000375303	0.000546072	17.814
0.000546072	0.000372292	0.000546072	18.0
0.000546072	0.000395091	0.000546072	20.748
0.00109214	0.000283422	0.00109214	12.78
0.00109214	0.00035614	0.00109214	15.606
0.00109214	0.000388922	0.00109214	15.396
0.00109214	0.000406744	0.00109214	19.104
0.00109214	0.000358762	0.00109214	17.79
0.00109214	-0.000633363	0.00128341	3.66
0.0012343	0.000370862	0.00131596	15.24
0.00118018	0.000368955	0.00120152	19.056
0.000933889	-0.000279905	0.00107718	9.498
0.00111509	0.000280621	0.00117374	14.49
0.000927214	0.000311138	0.000983961	17.802
0.000864271	0.000254752	0.000917438	15.528
0.000697616	0.000198842	0.000742082	13.656
0.000675324	0.000110507	0.00065029	12.39
0.00049651	0.000162006	0.000562076	18.9
0.000368239	0.000160933	0.000379803	25.56
0.000218154	0.000124932	0.000290157	20.346
9.05996e-06	-2.14578e-06	2.83719e-05	-68.976
-0.000114561	4.64919e-05	0.000148893	165.576
-0.000319721	-4.75647e-05	0.000358464	-166.464
-0.000467421	-1.78815e-06	0.000426294	-177.642
-0.000618104	-0.000133038	0.00063372	-166.41
-0.000675086	-7.45063e-05	0.000721935	-168.804
-0.000757698	-0.000117183	0.000777725	-170.238
-0.000931982	-0.000270607	0.000912551	-165.894
-0.000849966	-0.000177623	0.000880364	-166.182
-0.000876907	-0.000177027	0.00092769	-166.266
-0.000796203	-0.000174285	0.00083876	-167.664
-0.00078905	-0.000174166	0.000825766	-167.094
-0.000709299	-0.000101686	0.000762586	-172.65
-0.000604872	-7.92746e-05	0.000586752	-166.836
-0.000562076	-6.33006e-05	0.000529055	-169.566
-0.000488643	-0.000103951	0.000508074	-167.058
-0.000316622	-8.82155e-06	0.000356438	-170.154
-0.00026262	-1.14442e-05	0.000229121	-173.586
-0.000185014	-4.828e-05	0.00023687	-170.892
-8.6308e-05	-1.31131e-05	0.000119567	-172.122
-7.64136e-05	2.3842e-05	0.000108481	166.428
-8.1778e-05	-3.65975e-05	0.000100971	-140.55
-0.00011015	-1.5855e-05	0.000110627	-170.316
-0.000137211	-2.88488e-05	0.000104905	-167.622
-0.000148536	2.58685e-05	0.000167132	-168.042
-0.000118137	-1.7047e-05	0.000138284	-156.942
-0.000152708	-3.20675e-05	0.000179053	-155.172
-0.000203014	-7.42679e-05	0.000231029	-163.8
-0.000162841	-5.84128e-05	0.000132919	-166.656
-0.000283362	-7.17645e-05	0.000264766	-159.342
-0.000237823	6.31812e-06	0.000204206	176.97
-0.000234009	4.64919e-06	0.000211359	-170.334
-0.000254394	-5.14986e-05	0.000276806	-165.75
-0.000206233	-2.80143e-05	0.000196696	-174.888
-0.000229956	1.49012e-05	0.000191093	-172.116
-0.000218988	-3.09946e-06	0.000184418	-178.656
-0.000132681	-6.67577e-05	0.000169159	-166.644
-0.000126482	3.70743e-05	0.000127197	159.096
-7.80826e-05	-2.92064e-05	8.90498e-05	-162.978
-7.76057e-05	5.9605e-07	7.05724e-05	178.332
-7.04532e-05	1.45436e-05	6.00817e-05	151.296
-1.59742e-05	2.56301e-05	5.31676e-05	-177.654
-2.53917e-05	9.17917e-06	4.32732e-05	-153.504
-2.68222e-05	-2.27691e-05	5.99625e-05	-177.084
-0.000101686	3.09946e-05	3.71935e-05	137.088
-8.35662e-05	-3.82664e-05	0.00012064	-152.904
-0.000172497	-2.24115e-05	0.000152708	177.504
-0.00012684	-4.13659e-05	0.000122786	-151.764
-0.000177027	-2.69414e-05	0.0001781	175.578
-0.000127197	1.56165e-05	0.000165463	177.468
-0.000194789	1.88352e-05	0.000213505	178.596
-0.000258805	-2.92064e-05	0.000277044	-164.172
