X 	 Y 	 R 	 theta 

-0.000116945	-1.90736e-05	0.000139476	-179.886
-0.000136615	-1.26362e-05	0.000150443	-167.46
-0.00021279	-3.24252e-05	0.000182749	-165.366
-0.00014794	6.67577e-05	0.000151874	151.194
-0.000146628	-7.87978e-05	0.000178457	-168.084
-0.000114799	1.99081e-05	0.000133992	155.904
-0.000107527	-1.90736e-05	0.000121952	-166.98
-0.000140429	-4.25579e-05	0.000132085	-161.796
-0.000115395	6.31812e-06	0.000139476	179.49
-0.000149013	9.77522e-06	0.000156642	-175.704
-0.000121952	-7.98708e-06	0.000154735	-165.486
-0.000166775	1.43052e-06	0.000158788	171.03
-0.000116826	1.04905e-05	0.000136734	-168.438
-9.09572e-05	-1.78815e-05	7.1526e-05	178.02
-0.000136734	-1.35899e-05	0.00014341	-171.852
-0.000105143	4.97105e-05	0.000135303	176.214
-0.000161768	-6.67575e-06	0.00015247	-167.61
-0.000118733	1.83583e-05	0.000128032	168.756
-0.000143887	1.60934e-05	0.000151874	170.268
-0.000200869	2.80143e-05	0.000139476	164.574
-0.000176192	-4.64919e-05	0.000171543	168.126
-0.000132562	-8.82155e-06	0.000103236	170.556
-0.000153185	-5.04258e-05	0.000163079	-176.688
-0.000161768	4.26772e-05	0.000139476	-179.148
-0.0001328	3.73127e-05	0.000213505	178.74
-9.59639e-05	-4.7684e-06	0.000160218	-177.42
-0.000194908	-1.54973e-05	0.000201941	-173.718
-0.000186325	5.24524e-06	0.000189186	179.124
-0.000144363	-4.24387e-05	0.000135303	-173.586
-7.41486e-05	5.5671e-05	0.000104666	157.848
-0.000170828	1.44244e-05	0.000134946	161.34
-0.000164629	-1.39475e-05	0.00021279	-170.832
-0.0001961	6.68769e-05	0.000207187	174.39
-0.000199915	-3.03985e-05	0.000148655	171.702
-0.000210405	1.95504e-05	0.000145913	164.04
-0.000134588	-1.66894e-05	0.000136138	-162.396
-0.000182868	2.51533e-05	0.000190259	166.35
-6.11548e-05	1.12057e-05	0.000128628	179.91
-0.000148416	-2.75375e-05	0.000112176	-179.106
-0.000141741	-1.45436e-05	0.000144721	-178.512
-0.000152231	2.12194e-05	0.000130774	-171.24
-0.000108839	-5.13794e-05	0.000129462	-154.854
-0.000181437	2.20538e-05	0.000204564	-179.16
-0.000164987	-5.00682e-06	0.000168324	168.066
-9.84673e-05	-2.74183e-06	0.000171066	-173.766
-0.000189424	-1.66894e-06	0.000180365	175.356
-6.62808e-05	5.12603e-06	4.79224e-05	144.72
-0.000125528	-1.08481e-05	0.000104189	-157.92
-0.000147463	-6.54464e-05	0.000156404	-170.436
-0.000152827	5.96049e-06	0.000173093	-172.638
-0.000126482	8.58313e-06	0.000162006	168.69
-0.000161291	9.05996e-06	0.000185252	173.172
-0.000150443	3.17099e-05	0.000171305	-179.4
-0.000165106	-5.06642e-05	0.000172258	-171.27
-0.000169993	-2.57493e-05	0.00019765	-174.6
-0.000157	-1.49012e-05	0.000214697	-160.878
-0.000174762	2.11002e-05	0.000188113	174.75
-0.000142694	-5.94857e-05	0.000172854	-164.082
-0.000198246	-1.02521e-05	0.000190974	-177.324
-0.000149013	-4.41077e-06	0.000163556	178.176
-0.000166298	-5.8532e-05	0.000125767	177.378
-0.000172735	-3.39749e-05	0.000183941	-169.902
-0.000112176	-5.72207e-05	0.000101328	-174.984
-0.000146032	-3.94585e-05	0.000129105	-176.43
-0.000186087	1.97889e-05	0.000157596	-179.124
-0.000141502	-2.71798e-05	0.000109792	-167.16
-0.000155569	7.21221e-05	0.000216604	175.782
-0.000145436	2.02657e-06	0.000201226	173.502
-0.000162126	-9.5368e-06	0.000175715	-175.386
-0.000145555	-1.71663e-05	0.000142814	178.32
-0.000160695	9.65601e-06	0.000144959	-170.478
-0.000176669	-2.00273e-05	0.000182153	-166.782
-0.000121594	7.18837e-05	0.000158311	153.126
-0.000186563	-7.74866e-06	0.000203253	-175.488
-0.000111938	7.62945e-06	0.000151874	-168.162
-0.000142575	2.76567e-05	0.000122667	-169.092
-0.000191093	-1.6451e-05	0.000152827	175.83
-0.000143648	-5.31676e-05	0.000150681	-168.09
-0.000166417	-4.32732e-05	0.000175119	-175.224
-0.000165463	5.9605e-07	0.000211001	178.002
-0.000171543	-2.03849e-05	0.000183583	-173.526
-0.000209452	8.58313e-06	0.000183941	164.928
-0.000133277	-3.30212e-05	0.000101686	-157.812
-0.000134946	1.5855e-05	0.000147344	177.936
-0.000126244	-3.81473e-06	0.000117064	163.896
-0.000145079	-3.54054e-05	0.000175715	-162.648
-0.00017357	-4.29156e-06	0.000201703	-165.426
-0.000174404	4.42269e-05	0.000159265	171.636
-0.000184895	1.94312e-05	0.000241281	177.036
-0.000120759	7.80826e-05	0.00016749	178.848
-0.000135542	-1.00136e-05	0.000137926	-179.43
-0.000105739	5.12602e-05	0.000165583	168.702
-0.000110507	1.54973e-05	0.000146271	169.902
-6.31814e-05	4.52998e-06	7.06916e-05	-155.622
-0.00013733	-1.33515e-05	0.000141145	-173.682
-0.000150085	-1.66894e-06	0.000109196	-175.566
-0.000153185	-9.03611e-05	0.000128509	-153.33
-0.000164391	1.6451e-05	0.000132562	167.826
-0.000165225	-1.78815e-05	0.000179172	-178.056
-0.000192524	3.36173e-05	0.000186087	-175.626
-0.000132442	2.55109e-05	0.000130535	-168.864
-0.000174523	-4.91145e-05	0.000156046	-177.792
-0.000121236	1.97889e-05	0.000164152	-167.508
-0.000139237	-1.16826e-05	0.000170351	179.868
-0.000140429	-8.58313e-06	0.000158907	-167.904
-0.000134827	-3.44517e-05	0.000122429	-163.386
-0.000197173	3.88625e-05	0.000211836	157.56
-0.000151874	3.42133e-05	0.000217558	178.476
-0.000207067	-1.4782e-05	0.00014341	-174.192
-0.000125528	-1.57357e-05	0.000146986	-176.226
-0.000177861	3.81473e-06	0.000177504	174.72
-0.000157476	-2.2173e-05	0.000162722	-170.304
-0.000190736	6.47311e-05	0.000190617	165.816
-0.000124694	2.18154e-05	0.000164748	173.022
-0.000157	2.27691e-05	0.000140668	179.748
-0.000166894	-2.86103e-05	0.00011611	168.564
-0.000147344	8.64272e-05	0.00019908	160.338
-0.000199796	4.17235e-06	0.000187875	159.936
-0.000150443	-3.45708e-06	0.000126363	171.414
-0.00011921	1.82391e-05	9.96594e-05	-155.994
-0.000108362	-5.55518e-05	0.000144363	-163.242
-0.000136376	-4.3154e-05	0.000128151	-168.15
-0.000184298	3.50478e-05	0.000171305	172.026
-0.000141145	1.91928e-05	0.000146509	-166.014
-0.000155331	4.88761e-06	0.00015998	-166.86
-0.000173212	-8.52351e-05	0.000175119	-156.186
-0.000169993	-2.68222e-05	0.000131489	162.558
-0.000171662	-3.76704e-05	0.000152589	-160.734
-0.000162483	-3.09946e-06	0.000191809	-178.458
-0.000232817	-1.38283e-05	0.000232936	-176.568
-9.34605e-05	1.81199e-05	0.000120163	-171.3
-0.000206352	4.97105e-05	0.000279667	154.626
-0.000153662	-1.08481e-05	0.000192047	177.732
-0.000128866	2.82527e-05	0.000188352	175.446
-0.000227214	2.74183e-06	0.000228406	-171.144
-0.000145555	-3.52862e-05	0.000153781	-160.668
-0.000201703	1.43052e-05	0.000201703	168.258
-0.000251891	6.43733e-06	0.000219823	-178.284
-0.000165344	-4.49421e-05	0.000122429	-167.268
-0.000104666	3.6955e-06	6.5804e-05	176.754
-0.000150085	1.37091e-05	0.000140429	154.704
-0.000197292	3.61206e-05	0.000139357	-167.928
-0.000182272	2.86104e-06	0.000226737	178.746
-0.000159861	1.4782e-05	0.000153542	-171.402
-9.51295e-05	-3.21867e-06	0.000116587	179.1
-0.000220538	-5.71015e-05	0.000148297	-156.696
-0.000171901	4.35116e-05	0.000187994	175.998
-0.000123144	9.17917e-06	0.000153423	171.378
-0.000200034	-2.26499e-06	0.00012672	177.942
-0.000215054	-5.22139e-05	0.000197054	-172.614
-0.000190736	4.07698e-05	0.000132442	-171.3
-0.000144244	-2.39612e-05	0.000155688	177.984
-7.16452e-05	-1.39475e-05	9.31029e-05	163.356
-0.000144125	-4.69687e-05	0.000113965	-161.322
-0.000182987	1.2517e-05	0.000152946	-176.502
