X 	 Y 	 R 	 theta 

-0.0004797	0.000143052	0.000501636	164.106
-0.000450136	0.000142098	0.000465395	172.086
-0.000521664	1.33515e-05	0.000515942	173.892
-0.000436785	0.000154496	0.000535015	156.372
-0.000552181	9.72752e-05	0.000571255	172.89
-0.000465395	0.000170709	0.000606541	173.334
-0.000574116	8.20165e-05	0.000589374	167.238
-0.000442507	0.000123025	0.000473024	161.784
-0.000413897	0.000180245	0.000493053	157.242
-0.00065041	0.000138284	0.000558857	179.262
-0.000439646	0.000275614	0.000610355	146.652
-0.000633243	0.000102997	0.000654224	166.926
-0.000552181	0.00011921	0.000601772	173.874
-0.000645641	0.000225068	0.000694279	153.654
-0.000516895	0.000179292	0.000561718	167.856
-0.000573162	0.000172616	0.000693325	170.31
-0.000589374	4.10082e-05	0.000546459	176.136
-0.000547413	8.39238e-05	0.000493053	170.412
-0.00059605	0.00014782	0.000628475	166.992
-0.000691418	0.000145913	0.000692371	168.63
-0.000656132	0.000127793	0.000683788	169.302
-0.00067139	0.000240327	0.000701908	160.932
-0.000540737	0.000110627	0.000546459	169.176
-0.000686649	0.000172616	0.000670437	164.532
-0.00059605	0.000182153	0.000643734	166.098
-0.000637058	9.72752e-05	0.000673298	161.544
-0.000528339	0.000166894	0.000532154	154.116
-0.000487329	9.05995e-05	0.000512127	173.448
-0.000606541	0.000112534	0.000694279	168.624
-0.000552181	2.57493e-05	0.000514988	171.666
-0.000555042	0.000261309	0.000539783	157.95
-0.000530247	1.71663e-05	0.000456812	173.004
-0.000564579	1.14442e-05	0.000564579	173.91
-0.000532154	0.000152589	0.000633243	157.128
-0.000542644	9.91826e-05	0.000532154	158.796
-0.000673298	0.000163079	0.000676159	159.57
-0.000470163	0.000105858	0.000457766	160.05
-0.000569347	0.000180245	0.000529293	158.16
-0.000634197	4.48229e-05	0.000595096	171.216
-0.000682835	0.00014782	0.000591282	170.112
-0.000704769	0.000110627	0.000681881	163.806
-0.000578884	0.000211717	0.000658039	165.018
-0.000465395	0.000120163	0.000485422	160.83
-0.000658993	0.000267984	0.000680927	164.292
-0.000648502	0.000144006	0.000670437	164.808
-0.000608448	0.00014782	0.00072575	171.798
-0.000552181	0.000132562	0.000571255	161.664
-0.000540737	0.000280382	0.000593189	144.234
-0.000755314	0.000190736	0.000701908	176.646
-0.000539783	0.000251772	0.000559811	155.514
-0.000519756	0.000132562	0.000604633	165.324
-0.000727657	7.05724e-05	0.000732426	171.606
-0.000661854	0.000204087	0.000717167	162.678
-0.000532154	9.82289e-05	0.00060368	166.884
-0.000554089	5.0545e-05	0.00060368	166.146
-0.000652317	3.71935e-05	0.000617031	171.534
-0.000462534	3.81473e-06	0.000539783	-179.544
-0.000636104	0.00016594	0.000646595	167.856
-0.000673298	3.91009e-05	0.000617031	170.454
-0.00062466	9.44142e-05	0.000708584	163.71
-0.000704769	0.000316622	0.000741009	156.174
-0.000662807	0.000226975	0.000658993	166.998
-0.000557903	7.91554e-05	0.000561718	174.096
-0.000644688	0.00011921	0.000663761	167.904
-0.000589374	0.000109673	0.000535015	166.77
-0.000607494	7.72481e-05	0.000646595	170.742
-0.000570301	0.000199319	0.000526432	163.278
-0.000330927	8.01091e-05	0.000398638	171.312
-0.000619892	0.000121117	0.000618938	178.362
-0.000633243	7.1526e-05	0.000631336	174.564
-0.000512127	0.000218392	0.000559811	156.99
-0.000547413	7.53407e-05	0.000509266	-179.55
-0.00054932	4.86376e-05	0.000555996	172.878
-0.000507358	6.5804e-05	0.000432016	160.776
-0.000503544	0.000134469	0.000516895	169.974
-0.000482561	0.000197412	0.000494961	155.916
-0.000468256	0.000117302	0.00050259	164.73
-0.00039673	9.25069e-05	0.000472071	170.916
-0.000405313	7.43871e-05	0.000335695	149.4
-0.000346186	3.05178e-05	0.000413897	-179.916
-0.00033951	-4.7684e-06	0.000378611	166.986
-0.000174523	2.6703e-05	0.00025654	172.83
-0.000273706	3.05178e-05	0.000283243	165.27
-0.000193597	-8.86922e-05	0.000210763	166.524
-2.47956e-05	4.19619e-05	0.00012684	162.768
-0.000118256	-3.52862e-05	0.000144959	-156.714
0.000211717	-5.3406e-05	0.00010109	-31.266
0.000191689	-7.1526e-05	0.000214578	-36.942
0.000247957	-0.000160218	0.000225068	-37.746
0.00028515	-0.00011158	0.000369074	-14.868
0.000387194	-0.000175477	0.000377657	-21.096
0.000282289	-0.000193597	0.000361444	-31.758
0.000617031	-0.000346186	0.000655178	-27.318
0.000619892	-0.000319483	0.000739101	-19.992
0.000766758	-0.000286104	0.000851635	-24.288
0.000921253	-0.00039673	0.000940327	-23.46
0.000992782	-0.000394823	0.0010357	-21.936
0.000947002	-0.000494007	0.00112153	-22.272
0.00116254	-0.000450136	0.00129605	-21.366
0.00128461	-0.000454905	0.00137234	-20.952
0.00135136	-0.000350954	0.00148106	-16.578
0.00145436	-0.000413897	0.00146867	-12.48
0.0013609	-0.00065041	0.00152875	-22.458
0.00154591	-0.000681881	0.00177098	-22.182
0.00161744	-0.000636104	0.00183297	-22.272
0.00151253	-0.000759128	0.00177098	-25.044
0.00181103	-0.000706676	0.00191403	-22.812
0.00158788	-0.000700001	0.00173856	-21.414
0.00169183	-0.000724796	0.00181199	-23.46
0.00159264	-0.000758175	0.00178052	-24.444
0.00169659	-0.000711445	0.0019045	-23.142
0.00191975	-0.000698093	0.00205232	-18.39
0.00171757	-0.000704769	0.00181771	-23.19
0.00176144	-0.000659946	0.00181771	-19.392
0.00170041	-0.000474932	0.0018015	-15.27
0.00163365	-0.000449182	0.00162698	-17.898
0.00133038	-0.000515942	0.00133038	-23.304
0.00131799	-0.00043297	0.00140096	-18.06
0.00120641	-0.000356676	0.00127888	-20.988
0.000832561	-0.000400545	0.000857357	-17.724
0.000750545	-0.000144006	0.000831608	-18.048
0.000551227	-0.000108719	0.000480654	-14.13
0.000229836	-0.000150681	0.000307085	-39.57
-2.28883e-05	4.38693e-05	4.10082e-05	-156.594
-0.00026417	9.25069e-05	0.000324251	159.246
-0.000544552	0.000150681	0.000532154	156.198
-0.000732426	0.000123025	0.000748638	173.31
-0.00104523	0.000265123	0.00106526	169.104
-0.0010357	0.000284197	0.00101662	163.89
-0.00121976	0.000265123	0.00125981	167.388
-0.0012951	0.000291826	0.00132848	168.12
-0.00129033	0.000245096	0.00138665	169.116
-0.00137902	0.000245096	0.00130845	169.8
-0.00127316	0.000196458	0.00136185	170.484
-0.00123502	0.000189782	0.00121785	166.422
-0.000967983	0.000263216	0.00107003	168.792
-0.000892643	0.000263216	0.000898365	168.792
-0.00091267	5.72208e-06	0.000852589	174.882
-0.000599865	0.000205041	0.000631336	166.056
-0.000555042	0.000115395	0.000593189	174.522
-0.000383379	0.00012684	0.000417711	175.686
-0.000370981	3.33788e-05	0.000473024	168.66
-0.000306131	-2.9564e-05	0.000263216	177.576
-0.000268938	0.000146867	0.000225068	156.798
-0.000369074	-4.95913e-05	0.000347139	-179.394
-0.0002203	0.0	0.000181199	166.362
-0.000225068	3.14715e-05	0.00025654	167.952
-0.000205041	-0.000140191	0.000269892	-155.058
-0.000336649	-0.000122071	0.000335695	-163.482
-0.000304224	8.58312e-05	0.000272753	-169.914
-0.000262262	-2.00273e-05	0.00028515	-179.616
-0.00041485	2.57493e-05	0.000410082	-177.804
-0.000406267	2.86103e-05	0.000420572	177.438
-0.000425341	2.0981e-05	0.000440599	-177.132
-0.000410082	-6.8665e-05	0.000446321	-169.692
-0.000510219	0.000143052	0.000537876	168.858
-0.000446321	0.000142098	0.000444414	165.522
-0.000268938	7.43871e-05	0.000300409	151.728
-0.000219346	0.000103951	0.000314714	155.556
-8.48775e-05	1.52589e-05	7.91554e-05	162.348
-0.000284197	0.000123979	0.000338556	171.18
-0.000208856	-1.33515e-05	0.000195504	143.316
-0.000170709	0.000140191	0.00016594	140.904
-2.0981e-05	3.81472e-05	5.3406e-05	135.36
-0.000144006	-2.86104e-06	0.000107766	176.868
-0.000102044	1.23978e-05	9.63216e-05	-130.902
-8.48775e-05	4.86376e-05	7.1526e-05	166.476
-0.000257494	6.8665e-05	0.000267984	149.868
-0.000308992	3.62399e-05	0.000205041	-163.35
-0.000268938	-6.38966e-05	0.000265123	-165.966
-0.000312807	3.81473e-06	0.000318529	168.984
-0.000248911	0.000116349	0.000254633	164.094
-0.000514034	4.86376e-05	0.000515942	175.77
-0.000424387	6.38966e-05	0.000475885	172.248
-0.000428202	5.9128e-05	0.000442507	167.55
-0.000548366	0.000198365	0.000578884	166.968
-0.000536922	-2.47956e-05	0.000362398	171.18
-0.000425341	0.000125886	0.000416758	161.652
-0.000463488	0.000151635	0.000428202	169.776
-0.000308992	7.24797e-05	0.000213624	-179.64
-0.000361444	6.10356e-05	0.000418665	167.208
-0.00032902	0.000181199	0.000420572	148.266
-0.00017357	0.000149728	0.000251772	164.208
-0.000341417	6.8665e-05	0.000324251	151.434
-0.000267031	0.000190736	0.000308992	161.202
-0.000186921	-1.33515e-05	0.000211717	-169.578
-0.000259401	0.000144959	0.000261309	150.762
-0.000272753	6.10356e-05	0.00023842	160.302
-0.000226022	1.90736e-05	0.000236512	175.824
-0.000288965	5.24523e-05	0.000270845	-176.406
-0.000322344	7.24797e-05	0.000371935	164.46
-0.000361444	-0.000131608	0.000374796	-161.25
-0.000495914	-1.62126e-05	0.000423433	178.068
-0.00052071	0.000114441	0.000555042	171.9
-0.000529293	1.90736e-06	0.000593189	179.826
-0.000715259	-3.43325e-05	0.000688557	-173.412
-0.000664715	1.71663e-05	0.000584606	170.448
-0.000762943	-2.28883e-05	0.000675205	174.648
-0.000755314	0.000148774	0.000789646	171.15
-0.000637058	6.38966e-05	0.000665668	173.274
-0.000713352	8.58312e-05	0.000726704	174.45
-0.000733379	0.000116349	0.000741009	167.364
-0.00052071	7.53407e-05	0.000522617	168.882
-0.000519756	0.000103951	0.000587467	175.128
-0.00046158	0.000179292	0.000529293	163.59
-0.000359537	9.5368e-06	0.000358583	170.076
-0.000525478	7.24797e-05	0.000504497	167.766
-0.000398638	9.72752e-05	0.000376703	177.348
-0.000306131	4.19619e-05	0.00035	179.346
-0.00044346	0.000112534	0.000380518	172.788
-0.000191689	-4.29156e-05	0.000243188	176.796
-0.00024605	-0.000149728	0.000331881	-170.76
-0.0003109	0.000141145	0.000345232	172.614
-0.000206948	-4.57766e-05	0.000236512	158.586
-0.000248911	1.90736e-05	0.000267031	166.8
-0.000204087	0.00013733	0.000231744	175.926
-0.000236512	-1.71663e-05	0.000241281	-170.334
-0.000288965	-1.62126e-05	0.000282289	-160.686
-0.000288012	6.19893e-05	0.000211717	148.362
-0.000328066	0.000107766	0.000214578	175.944
-0.000383379	8.10628e-05	0.000325205	165.21
-0.000384333	8.48775e-05	0.000426294	175.08
-0.000376703	-6.38966e-05	0.000427248	177.624
-0.00033951	-5.14986e-05	0.00036812	179.124
-0.000421526	2.76567e-05	0.000360491	168.42
-0.000470163	9.44142e-05	0.000453951	171.894
