Time (s) 	 Position (mm) 	 Delay (s) 	 X 	 Y 	 R 	 theta 
#Without Preamplifier,Fluence with Filter (NE07A-B), ZnTe detector angle 40deg, Chopper 230Hz, time constant=0.1s 18dB, waiting time= 0.9s, sensitivity=20mV
1.9316	8.7	5.804030999999999e-11	3.33788e-05	2.86103e-05	4.00546e-05	55.434
3.4331	8.704	5.8066995200000003e-11	1.71663e-05	1.90736e-06	2.00273e-05	9.726
5.1546	8.708	5.8093680399999995e-11	2.19346e-05	3.71935e-05	4.95913e-05	56.706
6.6291	8.712	5.8120365599999993e-11	4.57766e-05	-4.19619e-05	6.10356e-05	-44.106
8.1013	8.716	5.814705079999999e-11	-1.43052e-05	2.28883e-05	2.57493e-05	119.934
9.5719	8.72	5.8173736e-11	-3.81473e-06	-2.47956e-05	2.57493e-05	-74.622
11.0068	8.724	5.82004212e-11	1.90736e-06	-1.14442e-05	1.33515e-05	-102.264
12.7169	8.728	5.82271064e-11	3.81473e-06	-2.9564e-05	2.3842e-05	-76.506
14.196	8.732	5.82537916e-11	6.67575e-06	-3.62399e-05	3.71935e-05	-69.864
15.667	8.736	5.82804768e-11	-1.90736e-05	-1.90736e-06	2.19346e-05	171.87
17.3878	8.74	5.8307162e-11	4.19619e-05	-2.28883e-05	4.00546e-05	-39.288
18.867	8.744	5.833384719999999e-11	2.0981e-05	8.58313e-06	2.47956e-05	24.678
20.318	8.748	5.836053239999999e-11	8.58313e-06	2.00273e-05	1.81199e-05	78.234
21.7887	8.752	5.83872176e-11	-1.62126e-05	-2.47956e-05	2.6703e-05	-99.69
23.2493	8.756	5.84139028e-11	1.04905e-05	-2.6703e-05	3.05178e-05	-61.86
24.9611	8.76	5.8440588e-11	0.0	1.52589e-05	1.23978e-05	118.074
26.4299	8.764	5.84672732e-11	-2.6703e-05	1.90736e-06	2.3842e-05	164.748
27.8856	8.768	5.849395840000001e-11	8.58313e-06	5.0545e-05	5.14986e-05	84.996
29.337	8.772	5.852064359999999e-11	1.33515e-05	-3.14715e-05	3.52862e-05	-54.834
30.7973	8.776	5.854732879999999e-11	-2.47956e-05	3.81472e-05	4.57766e-05	115.824
32.2689	8.78	5.857401399999999e-11	3.91009e-05	-4.7684e-06	4.38693e-05	-6.054
33.749	8.784	5.86006992e-11	1.90736e-06	-9.53682e-07	1.43052e-05	21.804
35.4682	8.788	5.86273844e-11	-1.33515e-05	2.3842e-05	2.9564e-05	111.372
36.9373	8.792	5.86540696e-11	-4.67303e-05	2.86104e-06	3.71935e-05	176.634
38.4099	8.796	5.86807548e-11	-2.86104e-06	2.86103e-05	2.86103e-05	56.688
39.8979	8.8	5.870744e-11	-1.81199e-05	-6.67575e-06	1.52589e-05	-167.904
41.3662	8.804	5.87341252e-11	4.95913e-05	-3.33788e-05	6.19893e-05	-32.874
43.0887	8.808	5.87608104e-11	1.33515e-05	-9.5368e-06	1.52589e-05	-63.438
44.5476	8.812	5.878749559999999e-11	3.81473e-06	3.81473e-06	3.81473e-06	71.568
46.0181	8.816	5.88141808e-11	-1.33515e-05	1.62126e-05	1.90736e-05	121.758
47.4712	8.82	5.8840866e-11	-8.58313e-06	-3.91009e-05	3.81472e-05	-106.8
48.9419	8.824	5.88675512e-11	0.0	-4.7684e-06	5.72208e-06	-16.392
50.6526	8.828	5.889423639999999e-11	8.58313e-06	8.58313e-06	1.23978e-05	19.44
52.1427	8.832	5.89209216e-11	4.86376e-05	-1.43052e-05	6.2943e-05	-13.764
53.6146	8.836	5.89476068e-11	2.28883e-05	1.04905e-05	2.28883e-05	0.0
55.0914	8.84	5.8974292e-11	2.86104e-06	-1.81199e-05	1.71663e-05	-69.678
56.5424	8.844	5.90009772e-11	3.91009e-05	2.19346e-05	4.38693e-05	17.85
58.0113	8.848	5.90276624e-11	1.90736e-05	-1.62126e-05	1.90736e-05	-70.908
59.5166	8.852	5.90543476e-11	-3.81473e-06	-1.52589e-05	1.71663e-05	-93.468
60.9679	8.856	5.908103279999999e-11	-2.3842e-05	3.81473e-06	2.28883e-05	-176.73
62.6884	8.86	5.910771799999999e-11	3.71935e-05	-4.7684e-06	4.00546e-05	0.924
64.1589	8.864	5.91344032e-11	8.58313e-06	2.86103e-05	3.24252e-05	68.808
65.6396	8.868	5.91610884e-11	5.72208e-06	-6.67575e-06	5.72208e-06	-135.0
67.0972	8.872	5.91877736e-11	2.57493e-05	-1.81199e-05	3.33788e-05	-35.166
68.5488	8.876	5.92144588e-11	1.90736e-05	2.86103e-05	3.52862e-05	53.568
70.0271	8.88	5.924114400000001e-11	-7.62945e-06	2.19346e-05	2.19346e-05	110.322
71.4793	8.884	5.926782919999999e-11	2.86104e-06	2.76567e-05	2.57493e-05	80.274
73.2104	8.888	5.929451439999999e-11	2.86103e-05	6.67575e-06	2.00273e-05	35.538
74.66	8.892	5.932119959999999e-11	3.14715e-05	-2.47956e-05	3.52862e-05	-33.366
76.1369	8.896	5.93478848e-11	3.05178e-05	0.0	2.3842e-05	24.144
77.589	8.9	5.937457e-11	3.33788e-05	-2.00273e-05	3.14715e-05	-39.474
79.0446	8.904	5.94012552e-11	1.52589e-05	-1.71663e-05	2.00273e-05	-60.018
80.7599	8.908	5.94279404e-11	-9.5368e-06	0.0	1.52589e-05	-175.236
82.24	8.912	5.945462560000001e-11	-6.67575e-06	-1.90736e-05	1.90736e-05	-143.616
83.7283	8.916	5.94813108e-11	-2.86104e-06	3.81473e-06	5.72208e-06	118.302
