Time (s) 	 Position (mm) 	 Delay (s) 	 X 	 Y 	 R 	 theta 
#Without Preamplifier,searching for the GaP signal, ZnTe detector angle 40deg, Chopper 230Hz, time constant=0.1s 24dB, waiting time= 1.0s, sensitivity=20mV
1.5205	7.7	5.1369009999999997e-11	3.14715e-05	-1.71663e-05	3.05178e-05	-28.392
3.0925	7.704	5.1395695199999995e-11	-1.62126e-05	2.6703e-05	2.86103e-05	107.592
4.659	7.708	5.14223804e-11	-1.23978e-05	-2.9564e-05	3.05178e-05	-118.302
6.2238	7.712	5.14490656e-11	1.90736e-05	3.62399e-05	4.29156e-05	64.206
7.7717	7.716	5.1475750799999996e-11	-3.62399e-05	-8.58313e-06	4.10082e-05	-171.996
9.3271	7.72	5.1502435999999994e-11	6.67575e-06	1.81199e-05	1.90736e-05	70.2
10.8766	7.724	5.15291212e-11	-1.62126e-05	-3.81473e-06	1.71663e-05	-169.506
12.4455	7.728	5.15558064e-11	-2.3842e-05	2.3842e-05	3.33788e-05	120.414
13.9916	7.732	5.15824916e-11	3.24252e-05	-6.67575e-06	3.24252e-05	-18.432
15.5426	7.736	5.1609176799999993e-11	-2.00273e-05	1.04905e-05	2.3842e-05	149.304
17.1148	7.74	5.1635862e-11	-1.71663e-05	1.62126e-05	1.90736e-05	128.994
18.6613	7.744	5.1662547199999996e-11	8.58313e-06	3.81473e-06	6.67575e-06	59.034
20.2138	7.748	5.16892324e-11	1.62126e-05	5.72208e-06	1.33515e-05	48.576
21.7641	7.752	5.17159176e-11	-3.81473e-06	-1.14442e-05	1.14442e-05	-106.392
23.3159	7.756	5.17426028e-11	-9.5368e-06	1.04905e-05	1.14442e-05	99.462
25.1062	7.76	5.1769287999999995e-11	-8.58313e-06	3.05178e-05	3.24252e-05	107.7
26.6576	7.764	5.17959732e-11	-2.00273e-05	5.72208e-06	2.3842e-05	147.096
28.4684	7.768	5.18226584e-11	-2.86104e-06	3.62399e-05	3.62399e-05	94.158
30.0168	7.772	5.1849343599999997e-11	1.04905e-05	3.71935e-05	4.19619e-05	72.12
31.5665	7.776	5.1876028799999995e-11	-9.5368e-06	1.33515e-05	1.71663e-05	133.362
33.1569	7.78	5.1902714e-11	-4.95913e-05	1.90736e-06	4.57766e-05	171.384
34.7208	7.784	5.19293992e-11	1.52589e-05	-2.0981e-05	2.47956e-05	-57.996
36.2695	7.788	5.19560844e-11	-1.52589e-05	1.62126e-05	2.0981e-05	132.396
38.0614	7.792	5.1982769599999994e-11	-2.86104e-06	9.5368e-06	1.14442e-05	105.522
39.6002	7.796	5.20094548e-11	0.0	3.05178e-05	2.9564e-05	96.63
41.4075	7.8	5.203614e-11	2.3842e-05	2.19346e-05	2.9564e-05	50.358
42.9721	7.804	5.20628252e-11	1.71663e-05	-4.67303e-05	4.86376e-05	-64.134
44.7994	7.808	5.208951039999999e-11	3.05178e-05	-2.86104e-06	3.52862e-05	0.0
46.3424	7.812	5.21161956e-11	2.28883e-05	8.58313e-06	2.6703e-05	15.75
47.8936	7.816	5.2142880799999996e-11	-1.81199e-05	-1.62126e-05	1.90736e-05	-125.31
49.705	7.82	5.2169566e-11	1.71663e-05	-6.67575e-06	1.71663e-05	-13.494
51.2714	7.824	5.21962512e-11	3.43325e-05	-6.67575e-06	3.52862e-05	-5.292
53.0893	7.828	5.22229364e-11	-2.86104e-06	9.5368e-06	9.5368e-06	47.49
54.6417	7.832	5.2249621599999995e-11	-3.81473e-06	4.7684e-06	5.72208e-06	114.444
56.1832	7.836	5.22763068e-11	-1.33515e-05	2.00273e-05	2.3842e-05	119.538
57.7283	7.84	5.2302992e-11	-2.28883e-05	1.43052e-05	3.05178e-05	156.642
59.2791	7.844	5.2329677199999996e-11	2.86104e-06	2.19346e-05	2.0981e-05	80.838
60.8544	7.848	5.2356362399999995e-11	-1.14442e-05	3.33788e-05	3.33788e-05	109.98
62.3972	7.852	5.23830476e-11	-2.76567e-05	1.90736e-06	2.76567e-05	178.668
63.9487	7.856	5.24097328e-11	-2.76567e-05	2.6703e-05	3.52862e-05	138.27
65.4996	7.86	5.2436418e-11	1.33515e-05	1.33515e-05	2.19346e-05	51.582
67.0516	7.864	5.2463103199999994e-11	4.19619e-05	-9.5368e-06	4.57766e-05	-15.396
68.6224	7.868	5.24897884e-11	-2.86103e-05	-1.14442e-05	2.57493e-05	-155.43
70.1608	7.872	5.2516473599999997e-11	-3.05178e-05	0.0	3.24252e-05	162.978
71.7071	7.876	5.25431588e-11	1.23978e-05	-9.5368e-06	1.23978e-05	-29.358
73.2564	7.88	5.2569844e-11	1.90736e-06	1.52589e-05	1.62126e-05	96.342
74.8117	7.884	5.25965292e-11	-2.00273e-05	8.58313e-06	1.90736e-05	136.332
76.3586	7.888	5.2623214399999996e-11	-9.5368e-06	6.67575e-06	1.04905e-05	180.0
77.9143	7.892	5.26498996e-11	-9.5368e-06	-6.67575e-06	5.72208e-06	-99.462
79.4625	7.896	5.26765848e-11	-2.6703e-05	1.90736e-06	2.6703e-05	173.046
81.0324	7.9	5.270327e-11	-5.14986e-05	1.81199e-05	4.86376e-05	157.128
82.5998	7.904	5.2729955199999995e-11	1.90736e-06	-2.00273e-05	1.90736e-05	-85.764
84.1462	7.908	5.27566404e-11	3.81473e-06	2.28883e-05	2.3842e-05	81.87
85.7029	7.912	5.27833256e-11	0.0	-2.28883e-05	2.19346e-05	-98.13
87.248	7.916	5.28100108e-11	-1.90736e-06	-7.62945e-06	1.04905e-05	-57.096
88.8013	7.92	5.2836695999999994e-11	-6.67575e-06	-9.53682e-07	0.0	36.87
90.3509	7.924	5.28633812e-11	2.9564e-05	-4.7684e-06	3.14715e-05	-13.17
91.9022	7.928	5.28900664e-11	2.86104e-06	2.76567e-05	2.57493e-05	72.072
93.4529	7.932	5.29167516e-11	5.72208e-06	8.58313e-06	5.72208e-06	81.87
95.004	7.936	5.2943436799999994e-11	1.81199e-05	-3.62399e-05	4.19619e-05	-55.08
96.5592	7.94	5.2970122e-11	8.58313e-06	-1.14442e-05	1.33515e-05	-55.494
98.1067	7.944	5.2996807199999997e-11	-9.53682e-07	3.81473e-06	3.81473e-06	59.034
99.6778	7.948	5.30234924e-11	-2.00273e-05	1.52589e-05	2.57493e-05	138.012
101.2477	7.952	5.30501776e-11	3.43325e-05	1.90736e-06	2.9564e-05	-4.086
102.7824	7.956	5.30768628e-11	-2.3842e-05	1.52589e-05	2.3842e-05	135.0
104.3289	7.96	5.3103547999999996e-11	-1.81199e-05	-6.67575e-06	1.81199e-05	-150.75
105.8952	7.964	5.31302332e-11	-1.33515e-05	8.58313e-06	1.04905e-05	118.302
107.4462	7.968	5.31569184e-11	-1.90736e-05	-1.90736e-06	1.43052e-05	-165.966
108.9968	7.972	5.31836036e-11	-9.53682e-07	8.58313e-06	7.62945e-06	84.804
110.548	7.976	5.3210288799999995e-11	-2.28883e-05	1.90736e-06	2.19346e-05	174.804
112.1192	7.98	5.3236974e-11	2.9564e-05	1.81199e-05	3.33788e-05	21.804
113.6667	7.984	5.32636592e-11	-7.62945e-06	1.23978e-05	1.23978e-05	79.992
115.2398	7.988	5.32903444e-11	1.23978e-05	3.81473e-06	1.43052e-05	10.782
116.7846	7.992	5.3317029599999994e-11	-3.43325e-05	-7.62945e-06	2.9564e-05	-162.804
118.3557	7.996	5.33437148e-11	3.05178e-05	-6.67575e-06	3.14715e-05	-9.66
120.1626	8.0	5.33704e-11	-9.5368e-06	-6.67575e-06	5.72208e-06	-135.0
121.7297	8.004	5.3397085199999995e-11	1.90736e-06	2.86104e-06	3.81473e-06	139.398
123.2788	8.008	5.3423770399999994e-11	-5.72208e-06	-2.76567e-05	3.05178e-05	-86.568
124.8344	8.012	5.34504556e-11	1.90736e-06	1.90736e-06	5.72208e-06	37.878
126.649	8.016	5.3477140799999996e-11	-1.81199e-05	-9.5368e-06	2.00273e-05	-169.044
128.2022	8.02	5.3503825999999995e-11	1.71663e-05	-1.04905e-05	2.3842e-05	-27.258
129.7545	8.024	5.353051119999999e-11	9.5368e-06	9.5368e-06	1.23978e-05	32.736
131.305	8.028	5.35571964e-11	-2.6703e-05	-1.14442e-05	2.9564e-05	-154.59
133.1187	8.032	5.3583881599999996e-11	2.86103e-05	-1.14442e-05	3.33788e-05	-17.418
134.6823	8.036	5.3610566799999994e-11	-3.81472e-05	3.81473e-06	3.33788e-05	171.348
136.2362	8.04	5.363725199999999e-11	2.9564e-05	-1.33515e-05	3.24252e-05	-21.372
137.8015	8.044	5.3663937200000003e-11	7.62945e-06	1.62126e-05	1.90736e-05	61.56
139.6092	8.048	5.3690622399999995e-11	-1.43052e-05	1.52589e-05	2.3842e-05	142.254
141.1567	8.052	5.371730759999999e-11	-9.53682e-07	-1.62126e-05	1.62126e-05	-103.494
142.7266	8.056	5.374399279999999e-11	8.58313e-06	1.23978e-05	1.33515e-05	63.438
144.2736	8.06	5.3770678e-11	2.47956e-05	-4.29156e-05	4.86376e-05	-54.09
145.8268	8.064	5.37973632e-11	-1.90736e-05	4.57766e-05	5.3406e-05	104.844
147.3773	8.068	5.382404839999999e-11	3.62399e-05	-6.67575e-06	3.52862e-05	-7.968
148.9472	8.072	5.385073359999999e-11	-3.24252e-05	3.33788e-05	4.86376e-05	136.608
150.4973	8.076	5.38774188e-11	-2.76567e-05	3.91009e-05	4.95913e-05	120.582
152.3055	8.08	5.3904104e-11	-2.3842e-05	-2.86104e-06	2.00273e-05	-176.058
153.8722	8.084	5.393078919999999e-11	-1.14442e-05	3.43325e-05	3.52862e-05	113.052
155.4176	8.088	5.395747439999999e-11	2.00273e-05	-3.81473e-06	1.62126e-05	-10.308
156.9719	8.092	5.39841596e-11	1.90736e-05	-9.5368e-06	2.3842e-05	-17.448
158.5218	8.096	5.40108448e-11	-1.90736e-05	-1.23978e-05	2.57493e-05	-161.568
160.0755	8.1	5.403753e-11	-1.14442e-05	1.90736e-06	1.14442e-05	164.478
161.6751	8.104	5.406421519999999e-11	2.86103e-05	-3.81473e-06	2.9564e-05	-3.816
163.2378	8.108	5.40909004e-11	5.72208e-06	-1.81199e-05	2.0981e-05	-61.116
165.0463	8.112	5.41175856e-11	8.58313e-06	2.86103e-05	2.86103e-05	74.622
166.5966	8.116	5.4144270799999997e-11	0.0	1.90736e-05	1.81199e-05	83.658
168.187	8.12	5.4170955999999995e-11	-1.23978e-05	-4.00546e-05	3.91009e-05	-98.676
169.7488	8.124	5.41976412e-11	6.67575e-06	-3.81473e-06	2.86104e-06	-128.658
171.5578	8.128	5.42243264e-11	1.90736e-06	-2.86104e-06	7.62945e-06	-10.62
173.1057	8.132	5.4251011599999996e-11	-9.5368e-06	-1.62126e-05	1.43052e-05	-87.276
174.6762	8.136	5.4277696799999994e-11	-2.28883e-05	4.48229e-05	4.86376e-05	118.812
176.2239	8.14	5.4304382e-11	9.53682e-07	1.81199e-05	1.43052e-05	82.404
177.7767	8.144	5.43310672e-11	3.52862e-05	-1.90736e-06	2.9564e-05	-6.792
179.3258	8.148	5.4357752399999995e-11	-1.43052e-05	1.62126e-05	2.28883e-05	142.818
180.877	8.152	5.4384437599999993e-11	1.52589e-05	-4.7684e-06	1.23978e-05	-21.804
182.4288	8.156	5.44111228e-11	-7.62945e-06	1.52589e-05	1.71663e-05	128.292
184.2504	8.16	5.4437807999999996e-11	-3.14715e-05	9.53682e-07	3.91009e-05	-179.076
185.8177	8.164	5.4464493199999994e-11	-9.5368e-06	1.90736e-06	5.72208e-06	119.748
187.3595	8.168	5.449117839999999e-11	-1.04905e-05	-2.00273e-05	2.3842e-05	-124.59
188.9251	8.172	5.4517863600000004e-11	-3.62399e-05	1.33515e-05	3.71935e-05	154.32
190.4711	8.176	5.4544548799999996e-11	-2.86104e-06	-9.5368e-06	1.14442e-05	-140.904
192.0423	8.18	5.4571233999999994e-11	-7.62945e-06	-1.43052e-05	1.81199e-05	-117.408
193.6078	8.184	5.459791919999999e-11	-2.9564e-05	1.52589e-05	3.52862e-05	157.62
195.1763	8.188	5.46246044e-11	-3.81473e-06	6.67575e-06	5.72208e-06	99.462
196.9847	8.192	5.46512896e-11	0.0	3.81473e-06	8.58313e-06	116.562
198.5506	8.196	5.467797479999999e-11	-1.33515e-05	1.62126e-05	1.90736e-05	117.474
200.0995	8.2	5.470465999999999e-11	-1.62126e-05	0.0	1.90736e-05	171.12
201.64	8.204	5.47313452e-11	-3.91009e-05	-1.71663e-05	4.10082e-05	-151.764
203.4561	8.208	5.47580304e-11	-9.5368e-06	-1.71663e-05	2.00273e-05	-123.18
205.0073	8.212	5.478471559999999e-11	7.62945e-06	6.67575e-06	1.90736e-05	19.536
206.5586	8.216	5.481140079999999e-11	1.71663e-05	-2.9564e-05	2.86103e-05	-67.38
208.13	8.22	5.4838086e-11	-1.90736e-05	-2.57493e-05	3.05178e-05	-133.212
209.6972	8.224	5.48647712e-11	-2.86104e-06	3.81473e-06	2.86104e-06	11.31
211.2443	8.228	5.48914564e-11	9.5368e-06	-3.81473e-06	8.58313e-06	4.086
212.8153	8.232	5.491814159999999e-11	2.86103e-05	1.23978e-05	3.05178e-05	29.43
214.3628	8.236	5.49448268e-11	-9.53682e-07	-2.28883e-05	2.3842e-05	-88.494
216.1877	8.24	5.4971512e-11	3.71935e-05	5.72208e-06	3.52862e-05	12.756
217.7387	8.244	5.49981972e-11	-4.00546e-05	2.86104e-06	4.00546e-05	171.468
219.2881	8.248	5.5024882399999995e-11	-1.90736e-06	9.5368e-06	8.58313e-06	94.398
220.8407	8.252	5.50515676e-11	-2.0981e-05	9.5368e-06	1.90736e-05	131.184
222.3901	8.256	5.50782528e-11	-4.7684e-06	-2.6703e-05	2.6703e-05	-108.432
224.2173	8.26	5.5104937999999996e-11	-1.04905e-05	-9.5368e-06	1.23978e-05	-143.748
225.7824	8.264	5.5131623199999995e-11	-2.9564e-05	1.62126e-05	3.71935e-05	149.886
227.3527	8.268	5.51583084e-11	-2.86103e-05	1.23978e-05	2.86103e-05	149.034
228.8983	8.272	5.51849936e-11	-1.71663e-05	-9.5368e-06	1.71663e-05	-149.742
230.4531	8.276	5.5211678799999996e-11	-1.62126e-05	-4.7684e-06	2.0981e-05	-176.73
232.0011	8.28	5.5238363999999994e-11	5.72208e-06	8.58313e-06	1.23978e-05	27.9
233.5529	8.284	5.52650492e-11	-1.90736e-06	6.67575e-06	1.04905e-05	143.13
235.104	8.288	5.52917344e-11	1.90736e-06	-1.62126e-05	1.71663e-05	-78.69
236.9243	8.292	5.5318419599999995e-11	-1.43052e-05	-2.6703e-05	2.86103e-05	-117.15
238.4775	8.296	5.534510479999999e-11	-3.81473e-06	0.0	3.81473e-06	-5.196
240.0343	8.3	5.5371790000000004e-11	-3.33788e-05	-7.62945e-06	3.05178e-05	-168.18
241.5994	8.304	5.5398475199999996e-11	-2.86103e-05	-1.14442e-05	3.14715e-05	-161.568
243.4165	8.308	5.5425160399999994e-11	2.00273e-05	-3.81473e-06	1.33515e-05	-39.804
244.9893	8.312	5.545184559999999e-11	8.58313e-06	-4.7684e-06	7.62945e-06	-35.538
246.5369	8.316	5.5478530800000004e-11	1.04905e-05	-1.62126e-05	1.43052e-05	-64.98
248.0884	8.32	5.5505216e-11	2.86103e-05	-3.81473e-06	3.24252e-05	-1.104
249.6396	8.324	5.5531901199999994e-11	-4.57766e-05	1.33515e-05	4.57766e-05	169.02
251.204	8.328	5.555858639999999e-11	-1.81199e-05	-3.14715e-05	3.52862e-05	-125.79
252.7579	8.332	5.55852716e-11	-9.5368e-06	-3.14715e-05	3.24252e-05	-107.352
254.3067	8.336	5.56119568e-11	2.28883e-05	6.67575e-06	2.86103e-05	24.942
256.0999	8.34	5.5638642e-11	-9.5368e-06	-2.9564e-05	2.86103e-05	-105.378
257.6712	8.344	5.566532719999999e-11	-1.43052e-05	-2.00273e-05	2.19346e-05	-115.116
259.2195	8.348	5.56920124e-11	-7.62945e-06	0.0	1.81199e-05	-178.266
260.7708	8.352	5.57186976e-11	1.04905e-05	-1.62126e-05	1.43052e-05	-86.82
262.3099	8.356	5.57453828e-11	-1.62126e-05	1.71663e-05	3.05178e-05	147.198
264.1185	8.36	5.577206799999999e-11	-1.23978e-05	1.23978e-05	1.81199e-05	129.288
265.6648	8.364	5.57987532e-11	-3.81473e-06	3.81473e-06	5.72208e-06	99.462
267.2343	8.368	5.58254384e-11	3.33788e-05	0.0	3.05178e-05	-1.218
268.7806	8.372	5.58521236e-11	8.58313e-06	9.5368e-06	1.23978e-05	38.658
