X 	 Y 	 R 	 theta 
#With Preamplifier,Measuring Just A, ZnTe detector angle dependance 40deg, Chopper inside probe 388Hz inside Pump 230Hz, time constant=0.1s 18dB, waiting time= 1s, sensitivity=20mV, position 3mm
-0.00296499	0.00957304	0.0100194	107.202
-0.00296403	0.00961024	0.0100594	107.13
-0.0030079	0.00956827	0.0100346	107.508
-0.00297929	0.00957972	0.0100318	107.256
-0.00296213	0.00961024	0.0100585	107.136
-0.00298215	0.00959402	0.0100461	107.268
-0.0029936	0.00962454	0.0100785	107.268
-0.00298311	0.00961977	0.0100699	107.208
-0.00295545	0.00959784	0.0100432	107.13
-0.00298025	0.00959116	0.0100432	107.262
-0.003006	0.00960451	0.0100642	107.412
-0.00296594	0.00961977	0.010068	107.148
-0.00298025	0.00963122	0.0100823	107.214
-0.00301553	0.00958925	0.0100518	107.46
-0.00299646	0.00960261	0.0100546	107.346
-0.00299932	0.00961596	0.0100747	107.31
-0.00298597	0.00962645	0.0100814	107.274
-0.0029688	0.0096007	0.010048	107.184
-0.00299646	0.00960261	0.0100604	107.286
-0.00297739	0.0096131	0.0100623	107.184
-0.0029545	0.00958067	0.010026	107.118
-0.0030079	0.00962073	0.0100794	107.334
-0.00299932	0.00960547	0.0100613	107.292
-0.00297739	0.00959784	0.0100518	107.214
-0.00299264	0.00960928	0.0100642	107.292
-0.00299646	0.00962836	0.010088	107.256
-0.00299264	0.00959784	0.0100518	107.25
-0.00299074	0.0096007	0.0100575	107.298
-0.00299455	0.00961119	0.0100661	107.286
-0.00299551	0.00960737	0.0100632	107.256
-0.00298502	0.00960451	0.0100613	107.274
-0.00299169	0.00959593	0.0100499	107.322
-0.00299646	0.00961405	0.010068	107.298
-0.00298978	0.00962931	0.0100833	107.226
-0.003006	0.00961787	0.0100785	107.394
-0.00299074	0.00963217	0.0100842	107.22
-0.00301076	0.00957876	0.0100365	107.412
-0.00297739	0.00955969	0.0100127	107.31
-0.00300314	0.00957114	0.0100327	107.418
-0.003006	0.00958067	0.0100432	107.466
-0.00300218	0.00961024	0.010068	107.334
-0.0030079	0.00960928	0.010069	107.4
-0.00300027	0.00961405	0.0100709	107.376
-0.0030203	0.00959307	0.0100575	107.49
-0.00301458	0.00963885	0.0100937	107.382
-0.00298692	0.00959116	0.010047	107.298
-0.00299932	0.00961787	0.0100766	107.28
-0.00297834	0.0096274	0.0100775	107.202
-0.0030079	0.00959116	0.0100499	107.418
-0.00297166	0.00959975	0.0100489	107.166
-0.00299169	0.00960737	0.0100632	107.286
-0.0030203	0.00958639	0.0100537	107.526
-0.00301076	0.0096131	0.0100699	107.382
-0.00299074	0.00958258	0.0100413	107.358
-0.00297929	0.00957972	0.0100337	107.34
-0.0029812	0.00962549	0.0100756	107.214
-0.00299741	0.00961977	0.0100766	107.328
-0.0029688	0.00960642	0.0100546	107.22
-0.00298597	0.00963885	0.0100918	107.232
-0.00301553	0.00959116	0.0100537	107.466
-0.00298597	0.00961405	0.010068	107.262
-0.00294878	0.00959402	0.0100394	107.082
-0.00298406	0.00959975	0.0100546	107.286
-0.00300409	0.00959116	0.0100489	107.37
-0.00298406	0.00961596	0.010069	107.244
-0.00300123	0.00961596	0.0100747	107.34
-0.00299169	0.00959402	0.0100518	107.334
-0.00302793	0.00960833	0.0100737	107.478
-0.00300123	0.00960737	0.0100613	107.292
-0.00298502	0.00961691	0.0100699	107.286
-0.00301458	0.00961977	0.0100814	107.4
-0.00297262	0.00962073	0.0100651	107.16
-0.0030079	0.00960261	0.0100651	107.346
-0.00303079	0.00963503	0.0101014	107.46
-0.00299455	0.00964075	0.0100918	107.262
-0.00302126	0.00963408	0.0100966	107.424
-0.00299455	0.00962073	0.0100747	107.292
-0.00301076	0.00958067	0.0100423	107.412
-0.00299074	0.00962454	0.0100814	107.268
-0.00297262	0.00962359	0.0100728	107.19
-0.00301267	0.00964934	0.0101081	107.34
-0.00297739	0.0096398	0.010088	107.154
-0.00301458	0.00962454	0.0100852	107.4
-0.0029688	0.00962645	0.0100709	107.118
-0.00300981	0.0096274	0.0100852	107.316
-0.00298597	0.00961691	0.0100718	107.256
-0.00299074	0.00959593	0.0100508	107.346
-0.00298978	0.00961119	0.0100651	107.256
-0.00298788	0.00961977	0.0100756	107.256
-0.003006	0.00961596	0.010068	107.364
-0.00297166	0.00961787	0.010068	107.166
-0.00298883	0.00961977	0.0100728	107.232
-0.00299837	0.00960737	0.0100632	107.322
-0.00298406	0.00962454	0.0100766	107.238
-0.00301553	0.00963694	0.0101004	107.388
-0.00300218	0.00966078	0.0101185	107.28
-0.00302507	0.00964075	0.0101033	107.424
-0.00301076	0.00964075	0.0101033	107.304
-0.00300027	0.0096541	0.010109	107.244
-0.00300314	0.00963789	0.0100947	107.292
