X 	 Y 	 R 	 theta 
#With Preamplifier,Just B, Turning the emitter ZnTe, ZnTe detector angle dependance 40deg, Chopper inside probe 388Hz inside Pump 230Hz, time constant=0.1s 18dB, waiting time= 1s, sensitivity=20mV, position 3mm
-0.00284578	0.0119744	0.0123063	103.368
-0.00287248	0.0119696	0.0123091	103.494
-0.00286676	0.0119792	0.0123149	103.434
-0.00286008	0.0119401	0.0122767	103.434
-0.0028639	0.0119906	0.0123273	103.416
-0.00285627	0.0119553	0.012291	103.422
-0.00284864	0.0119534	0.0122872	103.332
-0.00284673	0.0119525	0.0122891	103.404
-0.00288393	0.0119439	0.0122882	103.554
-0.00284769	0.0119582	0.0122939	103.392
-0.00286199	0.011961	0.0122986	103.464
-0.00286295	0.0119496	0.0122824	103.47
-0.00286295	0.0119601	0.0122958	103.44
-0.00284292	0.011963	0.0122958	103.344
-0.00285245	0.0119429	0.0122805	103.422
-0.00286008	0.0119706	0.0123082	103.458
-0.00283052	0.0119296	0.0122615	103.362
-0.00283529	0.0119544	0.0122872	103.368
-0.00285341	0.0119305	0.0122653	103.464
-0.00286008	0.0119219	0.0122624	103.512
-0.00285532	0.0119639	0.0123044	103.416
-0.0028372	0.011963	0.0122948	103.308
-0.00285245	0.0119744	0.0123101	103.392
-0.00285055	0.0119534	0.012292	103.41
-0.00285532	0.0119544	0.0122929	103.44
-0.00284673	0.0119696	0.0123025	103.374
-0.00286199	0.0119658	0.0123072	103.452
-0.00286008	0.0119763	0.012311	103.416
-0.00285722	0.0119458	0.0122815	103.428
-0.00284578	0.0119944	0.0123234	103.338
-0.00285341	0.0119343	0.0122681	103.422
-0.0028515	0.0119658	0.0122977	103.38
-0.00285341	0.0119877	0.0123253	103.422
-0.00285913	0.0119486	0.0122872	103.446
-0.00284673	0.0119639	0.0123025	103.434
-0.00284769	0.011941	0.0122748	103.404
-0.00282575	0.0119658	0.0122939	103.314
-0.00282289	0.0119334	0.0122605	103.296
-0.00284196	0.0119372	0.012271	103.404
-0.00286676	0.0119582	0.0122967	103.488
-0.00287248	0.0119525	0.0122958	103.53
-0.00284196	0.0119467	0.0122767	103.356
-0.0028763	0.0119763	0.0123139	103.488
-0.00285722	0.0119639	0.0122986	103.422
-0.00283052	0.0119496	0.0122815	103.326
-0.00284101	0.0119839	0.0123129	103.29
-0.00286008	0.011963	0.0123015	103.458
-0.00284959	0.0119563	0.0122929	103.416
-0.00284959	0.0119544	0.0122891	103.38
-0.00282957	0.0119677	0.0122939	103.308
-0.00286008	0.0120078	0.0123416	103.404
-0.00286295	0.0119696	0.0123072	103.422
-0.00288011	0.0119782	0.0123215	103.506
-0.00284959	0.0119877	0.0123225	103.38
-0.00284006	0.0119725	0.0123044	103.344
-0.00284292	0.0119553	0.0122843	103.356
-0.0028372	0.0119467	0.0122815	103.398
-0.0028391	0.0119115	0.0122452	103.392
-0.00283624	0.0119582	0.012292	103.368
-0.00283243	0.0119687	0.0122977	103.32
-0.00281812	0.0119391	0.0122719	103.278
-0.00284387	0.0119343	0.0122672	103.404
-0.00285055	0.0119477	0.0122843	103.422
-0.00285055	0.0119658	0.0123025	103.404
-0.00284673	0.0119572	0.0122948	103.392
-0.00284864	0.011961	0.0122948	103.398
-0.00285245	0.011941	0.0122777	103.422
-0.0028372	0.0119324	0.0122605	103.374
-0.00289346	0.0119506	0.0122929	103.602
-0.0028639	0.0119458	0.0122843	103.47
-0.00285245	0.0119343	0.0122681	103.452
-0.00287057	0.0119429	0.0122843	103.518
-0.00282671	0.011961	0.012292	103.314
-0.00285722	0.0119725	0.0123091	103.398
-0.00281145	0.0119238	0.0122491	103.32
-0.00285055	0.011941	0.0122758	103.464
-0.00284673	0.0119582	0.012292	103.434
-0.00284387	0.0119572	0.0122958	103.428
-0.00288202	0.0119792	0.0123225	103.53
-0.00284959	0.0119572	0.012291	103.398
-0.00284387	0.0119792	0.012311	103.338
-0.00287248	0.0119477	0.012291	103.512
-0.00282384	0.0119792	0.0123082	103.272
-0.00285913	0.0119877	0.0123244	103.326
-0.0028639	0.0119877	0.0123234	103.434
-0.00284673	0.0119277	0.0122605	103.398
-0.00284578	0.0119639	0.0122977	103.404
-0.00284483	0.011941	0.0122748	103.386
-0.00285341	0.011983	0.0123158	103.398
-0.00284006	0.0119887	0.0123215	103.35
-0.00286581	0.0119725	0.0123158	103.476
-0.00283338	0.0119868	0.0123177	103.284
-0.00285532	0.0119954	0.0123311	103.386
-0.00284006	0.0119877	0.0123177	103.302
-0.00285913	0.0119601	0.0123006	103.44
-0.00283624	0.0119563	0.0122891	103.338
-0.00287534	0.0120125	0.0123511	103.488
-0.0028372	0.0119668	0.0122977	103.362
-0.00286962	0.0119448	0.0122843	103.5
-0.00285722	0.0119696	0.0123072	103.416
