X 	 Y 	 R 	 theta 
#With Preamplifier, Measure A, ZnTe detector angle dependance 40deg, Chopper inside probe 388Hz inside Pump 230Hz, time constant=0.1s 24dB, waiting time= 1s, sensitivity=20mV, position 4.5mm
-0.000663761	0.00647548	0.00650981	95.844
-0.000692371	0.00648883	0.00652507	96.084
-0.000700954	0.0064669	0.00650409	96.198
-0.000680927	0.00649455	0.00652984	95.952
-0.000664715	0.00649551	0.00652602	95.886
-0.000700001	0.00643352	0.00647166	96.222
-0.000683788	0.00646976	0.006506	96.03
-0.000673298	0.00648883	0.00652316	95.856
-0.00067902	0.00649169	0.00652793	95.976
-0.000680927	0.00647739	0.00651267	96.024
-0.000723843	0.00647166	0.00651267	96.336
-0.000691418	0.00647071	0.00650695	96.078
-0.000667576	0.00646403	0.00649741	95.862
-0.000682835	0.00649932	0.00653651	96.03
-0.000678066	0.00649741	0.00653365	95.982
-0.000705723	0.00648883	0.00652888	96.198
-0.000704769	0.0064936	0.00653079	96.162
-0.000684742	0.00650313	0.00653937	96.0
-0.000676159	0.00646213	0.00649741	95.97
-0.00068951	0.0064688	0.006506	96.15
-0.000717167	0.00647452	0.00651076	96.3
-0.000699047	0.00647739	0.00651267	96.144
-0.000692371	0.00645068	0.00648788	96.084
-0.000666622	0.00645545	0.00649074	95.94
-0.00068951	0.0064669	0.00650409	96.132
-0.000687603	0.00647452	0.00651172	96.066
-0.000713352	0.00646403	0.006506	96.282
-0.000679974	0.00647071	0.00650504	96.012
-0.000679974	0.00646594	0.00650313	96.018
-0.000651363	0.00644496	0.00647643	95.802
-0.000664715	0.00645164	0.00648502	95.82
-0.000684742	0.00645259	0.00648883	95.982
-0.000685696	0.00645831	0.00649551	96.006
-0.000701908	0.00647643	0.00651363	96.144
-0.000690464	0.00644591	0.00647834	96.126
-0.000688557	0.00651172	0.00654605	96.012
-0.000652317	0.00644878	0.00648025	95.766
-0.000706676	0.00645545	0.00649551	96.216
-0.000713352	0.00647262	0.00651267	96.288
-0.00067139	0.0064545	0.00649169	95.94
-0.000693325	0.00649169	0.00652888	96.114
-0.000686649	0.00647166	0.00650886	96.042
-0.000683788	0.00649074	0.00652602	95.964
-0.000687603	0.00648692	0.00652221	96.018
-0.000662807	0.00648406	0.00651744	95.778
-0.00067139	0.00644591	0.00648215	95.94
-0.00067139	0.00648406	0.00651744	95.934
-0.000700001	0.00649074	0.00652888	96.18
-0.000678066	0.00648883	0.00652412	95.982
-0.000656132	0.00645068	0.00648406	95.79
-0.000644688	0.00647643	0.00650886	95.712
-0.000670437	0.00650409	0.00653842	95.904
-0.000686649	0.0064669	0.00650409	96.078
-0.000690464	0.0065079	0.00654414	96.018
-0.000687603	0.00648502	0.00652221	96.048
-0.00068951	0.00647739	0.00651363	96.054
-0.000665668	0.00647834	0.00651267	95.856
