X 	 Y 	 R 	 theta 
#With Preamplifier, Measure B, ZnTe detector angle dependance 40deg, Chopper inside probe 388Hz inside Pump 230Hz, time constant=0.1s 24dB, waiting time= 1s, sensitivity=20mV, position 4.5mm
-0.000709537	0.00410083	0.00416282	99.744
-0.000722889	0.00407699	0.00413898	100.044
-0.000676159	0.00409034	0.00414661	99.36
-0.000693325	0.00412944	0.00418475	99.486
-0.000669483	0.00411227	0.00416568	99.162
-0.000700001	0.00409511	0.00415424	99.72
-0.000699047	0.00411418	0.00417617	99.696
-0.00067139	0.00409225	0.00414661	99.336
-0.000677112	0.00408176	0.00413612	99.372
-0.000724796	0.00407699	0.00414088	100.104
-0.000720028	0.00410846	0.00417045	99.9
-0.000700954	0.00408557	0.00414661	99.846
-0.000678066	0.00414661	0.00420192	99.39
-0.000704769	0.00409988	0.00415996	99.684
-0.000695232	0.0041056	0.00416377	99.678
-0.000682835	0.00411704	0.0041714	99.42
-0.000706676	0.00410369	0.00416568	99.762
-0.000696186	0.00408843	0.00414756	99.738
-0.000696186	0.00409797	0.00415424	99.546
-0.000702862	0.0041056	0.00416759	99.702
-0.000688557	0.00410751	0.00416568	99.588
-0.000675205	0.00412276	0.00417712	99.3
-0.000685696	0.00411037	0.00416568	99.486
-0.000699047	0.00409988	0.00416186	99.756
-0.000693325	0.00411704	0.00417426	99.468
-0.000721935	0.00409415	0.0041571	100.026
-0.00072575	0.00412372	0.00418571	99.972
-0.000684742	0.00412086	0.00417808	99.384
-0.000702862	0.00410083	0.00416091	99.726
-0.000709537	0.00407794	0.00413993	99.81
-0.000706676	0.00410178	0.00416282	99.81
-0.000720028	0.00409225	0.00415424	99.906
-0.000686649	0.00406745	0.00412562	99.57
-0.000713352	0.00410655	0.00416854	99.84
-0.000682835	0.00408557	0.00414374	99.516
-0.000700954	0.00410083	0.00416091	99.732
-0.00067902	0.0041056	0.00416186	99.402
-0.000690464	0.00411704	0.00417426	99.486
-0.000700001	0.00409892	0.0041571	99.666
-0.000720028	0.00409892	0.00416282	99.954
-0.000686649	0.00409511	0.00415424	99.456
-0.000687603	0.00408652	0.0041447	99.576
-0.000704769	0.00409415	0.00415424	99.72
-0.000733379	0.00412181	0.00418571	100.05
-0.000702862	0.00409225	0.00415233	99.804
-0.000695232	0.00406554	0.00412276	99.6
-0.000731472	0.00409225	0.0041571	99.996
-0.000682835	0.00411418	0.0041714	99.39
-0.000709537	0.00410464	0.00416568	99.888
-0.000693325	0.00409415	0.00415233	99.612
-0.000673298	0.00408557	0.00413898	99.27
-0.000699047	0.00411227	0.00417235	99.474
-0.000672344	0.00410083	0.00415424	99.276
-0.000696186	0.00411227	0.00417045	99.642
-0.000699047	0.00404933	0.00410751	99.726
-0.00068951	0.00409415	0.00415328	99.57
