Time (s) 	 Position (mm) 	 Delay (s) 	 X 	 Y 	 R 	 theta 
#Without Preamplifier, ZnTe detector angle dependance 40deg, Chopper 230Hz, time constant=0.03s 12dB, waiting time= 0.21s, sensitivity=20mV
1.4607	10.0	6.6713e-11	1.23978e-05	2.9564e-05	0.000139237	-176.886
2.34	10.01	6.6779713e-11	1.62126e-05	6.5804e-05	8.77385e-05	-11.706
3.1889	10.02	6.6846426e-11	-1.14442e-05	6.10356e-05	5.81744e-05	66.966
4.0362	10.03	6.691313899999999e-11	6.67575e-06	8.58312e-05	3.71935e-05	155.922
4.8842	10.04	6.697985199999999e-11	-6.8665e-05	3.91009e-05	0.000134469	-56.67
5.732	10.05	6.7046565e-11	4.38693e-05	3.24252e-05	0.000127793	-70.944
6.5803	10.06	6.7113278e-11	-1.43052e-05	-0.000118256	0.000174523	-64.218
7.428	10.07	6.7179991e-11	0.000103951	4.76839e-05	0.000164987	58.158
8.2597	10.08	6.7246704e-11	2.0981e-05	-0.000113488	0.000114441	-129.6
9.0912	10.09	6.7313417e-11	-0.000106812	5.81744e-05	6.2943e-05	-88.524
9.9389	10.1	6.738012999999999e-11	3.52862e-05	-8.48775e-05	0.000103951	133.008
10.7854	10.11	6.744684299999999e-11	-6.48503e-05	-3.14715e-05	0.000120163	-99.534
11.6332	10.12	6.751355599999999e-11	-6.19893e-05	-0.00012684	7.91554e-05	-179.436
12.4819	10.13	6.758026900000001e-11	-6.67577e-05	5.9128e-05	0.00011921	-47.862
13.3285	10.14	6.7646982e-11	9.05995e-05	-4.48229e-05	8.48775e-05	-154.134
14.1772	10.15	6.7713695e-11	5.3406e-05	3.33788e-05	0.000164033	-101.544
15.0248	10.16	6.7780408e-11	3.91009e-05	-3.81472e-05	0.000100136	89.364
15.8566	10.17	6.7847121e-11	4.10082e-05	-0.000133515	4.29156e-05	-35.166
16.7033	10.18	6.791383399999999e-11	-7.24797e-05	-2.3842e-05	0.000117302	50.688
17.5518	10.19	6.798054699999999e-11	8.39238e-05	0.000123025	0.000125886	-167.37
18.3987	10.2	6.804726e-11	4.38693e-05	7.72481e-05	0.000130654	-72.954
19.2458	10.21	6.8113973e-11	-2.9564e-05	0.000110627	9.91826e-05	-44.616
20.0947	10.22	6.8180686e-11	-0.000142098	-0.000162126	0.000100136	-92.862
20.9413	10.23	6.8247399e-11	-3.71935e-05	-0.000115395	0.000105858	9.966
21.7899	10.24	6.8314112e-11	-0.000162126	-4.19619e-05	0.000297548	-169.482
22.6375	10.25	6.838082499999999e-11	-0.00021267	5.0545e-05	0.000112534	-129.234
23.4852	10.26	6.8447538e-11	-0.000131608	-1.04905e-05	0.000158311	-113.1
24.3319	10.27	6.8514251e-11	-0.000117302	4.57766e-05	0.000169755	-112.494
25.179	10.28	6.8580964e-11	-0.000255587	-0.000115395	0.000207902	-128.538
26.0116	10.29	6.864767699999999e-11	-0.000163079	-0.000153542	0.000234605	-110.934
26.8582	10.3	6.871439e-11	-1.33515e-05	6.67575e-06	0.000130654	-126.336
27.6906	10.31	6.8781103e-11	-0.000228883	-0.00011158	0.00015545	-123.312
28.522	10.32	6.884781599999999e-11	-0.00017357	-1.81199e-05	1.90736e-05	-61.23
29.3705	10.33	6.8914529e-11	-4.95913e-05	3.91009e-05	0.000226022	144.984
30.2185	10.34	6.8981242e-11	-0.000122071	-5.3406e-05	0.000129701	161.364
31.066	10.35	6.9047955e-11	-0.000218392	-0.000115395	0.000153542	-120.342
31.9132	10.36	6.911466799999999e-11	-5.81744e-05	-4.7684e-06	0.000180245	-116.232
32.7614	10.37	6.918138099999999e-11	-0.000200273	-0.000153542	0.000138284	-105.318
33.592	10.38	6.9248094e-11	-0.000170709	-0.000218392	0.000200273	-118.836
34.4407	10.39	6.9314807e-11	-0.00017357	-0.000135423	0.000373842	-129.12
35.2876	10.4	6.938152e-11	-0.00017357	-0.000199319	0.000222207	-153.966
36.12	10.41	6.9448233e-11	-0.000224114	-0.000170709	0.000340464	-121.356
36.9677	10.42	6.9514946e-11	-0.000383379	-0.000266077	0.00037575	-152.88
37.7993	10.43	6.958165899999999e-11	-0.000359537	-0.000195504	0.000418665	-130.074
38.6309	10.44	6.964837199999999e-11	-0.000229836	-0.000107766	0.000387194	-123.936
39.4786	10.45	6.971508499999999e-11	-0.000259401	-0.000190736	0.00038624	-153.888
40.3262	10.46	6.978179800000001e-11	-0.000371935	-0.000175477	0.000324251	-150.93
41.1732	10.47	6.9848511e-11	-0.00044346	-0.000199319	0.000349047	-131.076
42.0215	10.48	6.9915224e-11	-0.000401499	-0.000148774	0.000358583	-147.924
42.8693	10.49	6.9981937e-11	-0.000379564	-0.000205041	0.000593189	-158.478
43.7169	10.5	7.004865e-11	-0.000472071	-0.000216485	0.000475885	-143.79
44.5635	10.51	7.011536299999999e-11	-0.000380518	-0.000244142	0.000606541	-150.954
45.4119	10.52	7.018207599999999e-11	-0.000468256	-0.000323297	0.000557903	-132.546
46.2599	10.53	7.0248789e-11	-0.000440599	-0.000406267	0.000526432	-131.886
47.1074	10.54	7.031550199999998e-11	-0.000405313	-0.000338556	0.000637058	-132.846
47.9551	10.55	7.0382215e-11	-0.000448229	-0.000505451	0.000675205	-143.556
48.7868	10.56	7.0448928e-11	-0.000535015	-0.000478746	0.000637058	-131.976
49.6185	10.57	7.0515641e-11	-0.000617985	-0.000570301	0.000849728	-147.114
50.4651	10.58	7.058235399999999e-11	-0.000631336	-0.000610355	0.000817303	-135.894
51.3132	10.59	7.0649067e-11	-0.000589374	-0.000527386	0.000785831	-144.564
52.1613	10.6	7.071578e-11	-0.000564579	-0.000411035	0.000838283	-132.006
53.0077	10.61	7.0782493e-11	-0.00065041	-0.000536922	0.000879291	-140.922
53.8394	10.62	7.084920599999999e-11	-0.000606541	-0.000532154	0.0008297	-127.002
54.6871	10.63	7.0915919e-11	-0.000760082	-0.000669483	0.000951771	-139.41
55.5361	10.64	7.0982632e-11	-0.000747684	-0.000600819	0.000901226	-135.378
56.383	10.65	7.104934499999999e-11	-0.000669483	-0.000802997	0.00109101	-144.024
57.2313	10.66	7.1116058e-11	-0.00088406	-0.000760082	0.00110913	-137.64
58.079	10.67	7.1182771e-11	-0.000904087	-0.000554089	0.000983246	-133.758
58.9265	10.68	7.1249484e-11	-0.000944141	-0.00080872	0.00118447	-137.646
59.7732	10.69	7.131619699999999e-11	-0.000928883	-0.000775341	0.00110055	-138.84
60.6214	10.7	7.138290999999999e-11	-0.000999458	-0.00089455	0.00126839	-137.346
61.4696	10.71	7.1449623e-11	-0.000964168	-0.00102425	0.00143433	-135.252
62.3174	10.72	7.151633600000001e-11	-0.00104428	-0.00102807	0.00124837	-132.468
63.165	10.73	7.1583049e-11	-0.00094891	-0.000843052	0.00137044	-134.022
63.9959	10.74	7.1649762e-11	-0.00111867	-0.00100995	0.00130177	-135.54
64.8285	10.75	7.1716475e-11	-0.00105572	-0.000947002	0.00142384	-135.45
65.6758	10.76	7.178318799999999e-11	-0.00106526	-0.000988014	0.00153638	-134.364
66.5232	10.77	7.184990099999999e-11	-0.00118256	-0.00111295	0.00142098	-138.984
67.3713	10.78	7.191661399999999e-11	-0.00101472	-0.00115872	0.00148202	-132.672
68.2189	10.79	7.1983327e-11	-0.00120641	-0.00116349	0.00154782	-135.636
69.0666	10.8	7.205004e-11	-0.00130749	-0.00129224	0.00177766	-136.074
69.9128	10.81	7.2116753e-11	-0.00135709	-0.00122357	0.00179768	-134.346
70.7615	10.82	7.2183466e-11	-0.00132943	-0.00141049	0.00184918	-139.482
71.6097	10.83	7.2250179e-11	-0.00147534	-0.00125695	0.00189782	-137.412
72.4572	10.84	7.231689199999999e-11	-0.00156213	-0.00153542	0.0021105	-133.242
73.2889	10.85	7.238360499999999e-11	-0.00157262	-0.00168801	0.00216772	-130.368
74.1357	10.86	7.2450318e-11	-0.00153447	-0.00178433	0.00232507	-134.964
74.9832	10.87	7.2517031e-11	-0.00175763	-0.00185395	0.0025406	-131.67
75.8148	10.88	7.2583744e-11	-0.00146294	-0.00179768	0.00235845	-134.814
76.6616	10.89	7.2650457e-11	-0.00148297	-0.00164796	0.00225927	-132.132
77.5094	10.9	7.271717e-11	-0.00129796	-0.00141717	0.00188638	-124.086
78.3579	10.91	7.278388299999999e-11	-0.000844959	-0.00116444	0.00154115	-122.502
79.2056	10.92	7.2850596e-11	-0.000455858	-0.00097657	0.00110913	-106.794
80.0531	10.93	7.2917309e-11	0.0004921	-0.000164987	0.000432016	-20.76
80.9007	10.94	7.2984022e-11	0.00132848	0.000663761	0.00149442	24.966
81.7486	10.95	7.305073499999999e-11	0.0028	0.00210477	0.00345613	37.212
82.597	10.96	7.3117448e-11	0.004365	0.00350954	0.0056515	38.904
83.4446	10.97	7.3184161e-11	0.00637153	0.00562575	0.00847918	40.8
84.2763	10.98	7.325087399999999e-11	0.00843531	0.00770476	0.0114108	42.03
85.108	10.99	7.3317587e-11	0.0102225	0.00964648	0.0140105	42.36
85.9556	11.0	7.33843e-11	0.0117016	0.0108281	0.0159961	42.804
86.802	11.01	7.3451013e-11	0.0121251	0.0112382	0.0164291	42.408
87.6493	11.02	7.351772599999999e-11	0.0112391	0.010192	0.0152016	42.648
88.4986	11.03	7.358443899999999e-11	0.00867945	0.00802141	0.0117751	42.846
89.3298	11.04	7.365115199999999e-11	0.0049229	0.00461105	0.00660995	43.686
90.1618	11.05	7.371786500000001e-11	0.000574116	0.00123311	0.00127507	57.822
90.9933	11.06	7.3784578e-11	-0.00286008	-0.00159741	0.00337411	-150.948
91.8404	11.07	7.3851291e-11	-0.004859	-0.00329019	0.00576785	-147.234
