Time (s) 	 Position (mm) 	 Delay (s) 	 X 	 Y 	 R 	 theta 
#Without Preamplifier,Fluence with Filter (None), ZnTe detector angle 40deg, Chopper 230Hz, time constant=0.3s 18dB, waiting time= 2.7s, sensitivity=20mV
3.7286	7.0	4.6699099999999995e-11	-5.0545e-05	-5.72208e-06	5.14986e-05	-174.996
7.055	7.004	4.6725785199999993e-11	-4.67303e-05	1.90736e-05	4.86376e-05	157.752
10.3492	7.008	4.67524704e-11	-5.6267e-05	1.90736e-05	6.00817e-05	161.76
13.6444	7.012	4.6779155599999996e-11	-6.5804e-05	1.71663e-05	6.5804e-05	164.844
16.9381	7.016	4.68058408e-11	-4.00546e-05	1.81199e-05	4.38693e-05	155.772
20.2333	7.02	4.683252599999999e-11	-4.67303e-05	1.04905e-05	4.76839e-05	167.298
23.5117	7.024	4.68592112e-11	-3.71935e-05	1.71663e-05	3.91009e-05	153.438
26.7908	7.028	4.6885896399999995e-11	-5.72207e-05	2.47956e-05	6.19893e-05	156.96
30.069	7.032	4.69125816e-11	-4.67303e-05	3.52862e-05	5.72207e-05	142.068
33.3485	7.036	4.693926679999999e-11	-6.67577e-05	1.04905e-05	6.5804e-05	170.73
36.6264	7.04	4.6965951999999997e-11	-2.9564e-05	1.81199e-05	3.43325e-05	146.004
39.9047	7.044	4.6992637199999995e-11	-5.3406e-05	1.33515e-05	5.53133e-05	163.962
43.184	7.048	4.70193224e-11	-8.20165e-05	1.62126e-05	8.10628e-05	168.69
46.4625	7.052	4.70460076e-11	-7.34334e-05	2.3842e-05	7.72481e-05	160.644
49.7415	7.056	4.7072692799999996e-11	-5.53133e-05	8.58313e-06	5.53133e-05	171.672
53.2759	7.06	4.7099377999999994e-11	-6.8665e-05	5.72208e-06	6.77113e-05	175.056
56.5548	7.064	4.71260632e-11	-4.00546e-05	9.5368e-06	3.81472e-05	163.782
60.1052	7.068	4.71527484e-11	-5.53133e-05	2.28883e-05	5.9128e-05	157.83
63.399	7.072	4.7179433599999995e-11	-4.95913e-05	1.23978e-05	4.86376e-05	165.774
66.6781	7.076	4.7206118799999993e-11	-5.3406e-05	0.0	5.24523e-05	179.286
69.9407	7.08	4.7232804e-11	-5.81744e-05	2.86103e-05	6.38966e-05	153.438
73.2197	7.084	4.7259489199999996e-11	-5.24523e-05	-9.53682e-07	5.0545e-05	179.238
76.4979	7.088	4.72861744e-11	-3.33788e-05	3.81473e-06	3.33788e-05	174.402
79.793	7.092	4.731285959999999e-11	-3.43325e-05	2.86103e-05	4.38693e-05	138.012
83.087	7.096	4.73395448e-11	-5.24523e-05	1.90736e-05	5.53133e-05	158.964
86.6379	7.1	4.7366229999999995e-11	-8.20165e-05	2.47956e-05	8.58312e-05	162.54
89.9328	7.104	4.73929152e-11	-7.34334e-05	1.23978e-05	7.43871e-05	169.194
93.4832	7.108	4.74196004e-11	-6.67577e-05	1.14442e-05	6.77113e-05	169.242
96.7778	7.112	4.7446285599999996e-11	-6.2943e-05	1.52589e-05	6.38966e-05	166.392
100.0725	7.116	4.7472970799999995e-11	-5.3406e-05	1.71663e-05	5.53133e-05	161.784
103.3508	7.12	4.7499656e-11	-4.95913e-05	2.19346e-05	5.3406e-05	155.964
106.6294	7.124	4.75263412e-11	-7.34334e-05	4.19619e-05	8.48775e-05	150.42
109.9082	7.128	4.7553026399999996e-11	-2.9564e-05	9.53682e-07	2.86103e-05	177.336
113.187	7.132	4.7579711599999994e-11	-3.71935e-05	2.00273e-05	4.00546e-05	151.314
116.4655	7.136	4.76063968e-11	-4.95913e-05	9.53682e-07	4.86376e-05	177.612
